benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,30000000,1.87844
1,bench1_unpack_1bw_8ow_8crw_1uf,30000000,1.89768
2,bench2_unpack_2bw_8ow_8crw_1uf,30000000,1.929
3,bench3_unpack_3bw_8ow_8crw_1uf,30000000,1.98324
4,bench4_unpack_4bw_8ow_8crw_1uf,30000000,2.03243
5,bench5_unpack_5bw_8ow_8crw_1uf,30000000,2.09306
6,bench6_unpack_6bw_8ow_8crw_1uf,30000000,2.15705
7,bench7_unpack_7bw_8ow_8crw_1uf,30000000,2.2482
8,bench8_unpack_8bw_8ow_8crw_1uf,30000000,2.33438
9,bench9_unpack_0bw_16ow_16crw_1uf,30000000,2.00527
10,bench10_unpack_1bw_16ow_16crw_1uf,30000000,2.0291
11,bench11_unpack_2bw_16ow_16crw_1uf,30000000,2.04786
12,bench12_unpack_3bw_16ow_16crw_1uf,30000000,2.06779
13,bench13_unpack_4bw_16ow_16crw_1uf,30000000,2.10011
14,bench14_unpack_5bw_16ow_16crw_1uf,30000000,2.13172
15,bench15_unpack_6bw_16ow_16crw_1uf,30000000,2.16605
16,bench16_unpack_7bw_16ow_16crw_1uf,30000000,2.20314
17,bench17_unpack_8bw_16ow_16crw_1uf,30000000,2.2376
18,bench18_unpack_9bw_16ow_16crw_1uf,30000000,2.28644
19,bench19_unpack_10bw_16ow_16crw_1uf,30000000,2.32569
20,bench20_unpack_11bw_16ow_16crw_1uf,30000000,2.36148
21,bench21_unpack_12bw_16ow_16crw_1uf,30000000,2.39809
22,bench22_unpack_13bw_16ow_16crw_1uf,30000000,2.46666
23,bench23_unpack_14bw_16ow_16crw_1uf,30000000,2.5515
24,bench24_unpack_15bw_16ow_16crw_1uf,30000000,2.59586
25,bench25_unpack_16bw_16ow_16crw_1uf,30000000,2.65291
26,bench26_unpack_0bw_32ow_32crw_1uf,30000000,1.24995
27,bench27_unpack_1bw_32ow_32crw_1uf,30000000,1.25526
28,bench28_unpack_2bw_32ow_32crw_1uf,30000000,1.26177
29,bench29_unpack_3bw_32ow_32crw_1uf,30000000,1.26644
30,bench30_unpack_4bw_32ow_32crw_1uf,30000000,1.27502
31,bench31_unpack_5bw_32ow_32crw_1uf,30000000,1.28146
32,bench32_unpack_6bw_32ow_32crw_1uf,30000000,1.28807
33,bench33_unpack_7bw_32ow_32crw_1uf,30000000,1.29703
