benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_64crw_1uf,30000000,0.0911048
1,bench1_unpack_1bw_8ow_64crw_1uf,30000000,0.142581
2,bench2_unpack_2bw_8ow_64crw_1uf,30000000,0.157725
3,bench3_unpack_3bw_8ow_64crw_1uf,30000000,0.199524
4,bench4_unpack_4bw_8ow_64crw_1uf,30000000,0.148393
5,bench5_unpack_5bw_8ow_64crw_1uf,30000000,0.24129
6,bench6_unpack_6bw_8ow_64crw_1uf,30000000,0.223805
7,bench7_unpack_7bw_8ow_64crw_1uf,30000000,0.296713
8,bench8_unpack_8bw_8ow_64crw_1uf,30000000,0.15064
9,bench9_unpack_0bw_16ow_64crw_1uf,30000000,0.312697
10,bench10_unpack_1bw_16ow_64crw_1uf,30000000,0.312882
11,bench11_unpack_2bw_16ow_64crw_1uf,30000000,0.315163
12,bench12_unpack_3bw_16ow_64crw_1uf,30000000,0.350957
13,bench13_unpack_4bw_16ow_64crw_1uf,30000000,0.312624
14,bench14_unpack_5bw_16ow_64crw_1uf,30000000,0.385925
15,bench15_unpack_6bw_16ow_64crw_1uf,30000000,0.370373
16,bench16_unpack_7bw_16ow_64crw_1uf,30000000,0.422728
17,bench17_unpack_8bw_16ow_64crw_1uf,30000000,0.324111
18,bench18_unpack_9bw_16ow_64crw_1uf,30000000,0.451164
19,bench19_unpack_10bw_16ow_64crw_1uf,30000000,0.450011
20,bench20_unpack_11bw_16ow_64crw_1uf,30000000,0.484568
21,bench21_unpack_12bw_16ow_64crw_1uf,30000000,0.431272
22,bench22_unpack_13bw_16ow_64crw_1uf,30000000,0.520116
23,bench23_unpack_14bw_16ow_64crw_1uf,30000000,0.513774
24,bench24_unpack_15bw_16ow_64crw_1uf,30000000,0.553534
25,bench25_unpack_16bw_16ow_64crw_1uf,30000000,0.388442
26,bench26_unpack_0bw_32ow_64crw_1uf,30000000,0.624996
27,bench27_unpack_1bw_32ow_64crw_1uf,30000000,0.624997
28,bench28_unpack_2bw_32ow_64crw_1uf,30000000,0.624971
29,bench29_unpack_3bw_32ow_64crw_1uf,30000000,0.624992
30,bench30_unpack_4bw_32ow_64crw_1uf,30000000,0.62498
31,bench31_unpack_5bw_32ow_64crw_1uf,30000000,0.635274
32,bench32_unpack_6bw_32ow_64crw_1uf,30000000,0.635521
33,bench33_unpack_7bw_32ow_64crw_1uf,30000000,0.655289
34,bench34_unpack_8bw_32ow_64crw_1uf,30000000,0.625477
35,bench35_unpack_9bw_32ow_64crw_1uf,30000000,0.687725
36,bench36_unpack_10bw_32ow_64crw_1uf,30000000,0.695196
37,bench37_unpack_11bw_32ow_64crw_1uf,30000000,0.731149
38,bench38_unpack_12bw_32ow_64crw_1uf,30000000,0.684915
39,bench39_unpack_13bw_32ow_64crw_1uf,30000000,0.763728
40,bench40_unpack_14bw_32ow_64crw_1uf,30000000,0.757663
41,bench41_unpack_15bw_32ow_64crw_1uf,30000000,0.779839
42,bench42_unpack_16bw_32ow_64crw_1uf,30000000,0.648409
43,bench43_unpack_17bw_32ow_64crw_1uf,30000000,0.827357
44,bench44_unpack_18bw_32ow_64crw_1uf,30000000,0.823922
45,bench45_unpack_19bw_32ow_64crw_1uf,30000000,0.843232
46,bench46_unpack_20bw_32ow_64crw_1uf,30000000,0.81264
47,bench47_unpack_21bw_32ow_64crw_1uf,30000000,0.900823
48,bench48_unpack_22bw_32ow_64crw_1uf,30000000,0.89008
49,bench49_unpack_23bw_32ow_64crw_1uf,30000000,0.928295
50,bench50_unpack_24bw_32ow_64crw_1uf,30000000,0.790217
51,bench51_unpack_25bw_32ow_64crw_1uf,30000000,0.961821
52,bench52_unpack_26bw_32ow_64crw_1uf,30000000,0.95137
53,bench53_unpack_27bw_32ow_64crw_1uf,30000000,0.987912
54,bench54_unpack_28bw_32ow_64crw_1uf,30000000,0.942249
55,bench55_unpack_29bw_32ow_64crw_1uf,30000000,1.02326
56,bench56_unpack_30bw_32ow_64crw_1uf,30000000,1.01435
57,bench57_unpack_31bw_32ow_64crw_1uf,30000000,1.05264
58,bench58_unpack_32bw_32ow_64crw_1uf,30000000,0.78699
59,bench59_unpack_0bw_64ow_64crw_1uf,30000000,1.24995
60,bench60_unpack_1bw_64ow_64crw_1uf,30000000,1.25
61,bench61_unpack_2bw_64ow_64crw_1uf,30000000,1.24998
62,bench62_unpack_3bw_64ow_64crw_1uf,30000000,1.24996
63,bench63_unpack_4bw_64ow_64crw_1uf,30000000,1.25324
64,bench64_unpack_5bw_64ow_64crw_1uf,30000000,1.26079
65,bench65_unpack_6bw_64ow_64crw_1uf,30000000,1.26176
66,bench66_unpack_7bw_64ow_64crw_1uf,30000000,1.26618
67,bench67_unpack_8bw_64ow_64crw_1uf,30000000,1.26672
68,bench68_unpack_9bw_64ow_64crw_1uf,30000000,1.27235
69,bench69_unpack_10bw_64ow_64crw_1uf,30000000,1.27502
70,bench70_unpack_11bw_64ow_64crw_1uf,30000000,1.27878
71,bench71_unpack_12bw_64ow_64crw_1uf,30000000,1.28524
72,bench72_unpack_13bw_64ow_64crw_1uf,30000000,1.28304
73,bench73_unpack_14bw_64ow_64crw_1uf,30000000,1.29231
74,bench74_unpack_15bw_64ow_64crw_1uf,30000000,1.29035
75,bench75_unpack_16bw_64ow_64crw_1uf,30000000,1.29638
76,bench76_unpack_17bw_64ow_64crw_1uf,30000000,1.29885
77,bench77_unpack_18bw_64ow_64crw_1uf,30000000,1.31123
78,bench78_unpack_19bw_64ow_64crw_1uf,30000000,1.31275
79,bench79_unpack_20bw_64ow_64crw_1uf,30000000,1.31543
80,bench80_unpack_21bw_64ow_64crw_1uf,30000000,1.32296
81,bench81_unpack_22bw_64ow_64crw_1uf,30000000,1.33165
82,bench82_unpack_23bw_64ow_64crw_1uf,30000000,1.34399
83,bench83_unpack_24bw_64ow_64crw_1uf,30000000,1.34091
84,bench84_unpack_25bw_64ow_64crw_1uf,30000000,1.36151
85,bench85_unpack_26bw_64ow_64crw_1uf,30000000,1.35742
