benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,1.9767
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,1.91455
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,1.89464
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,1.9508
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,2.00634
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,2.03804
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,2.06207
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,2.09762
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,2.12747
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,2.13502
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,2.13151
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,2.02715
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,1.98502
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,1.98473
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,2.0953
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,2.1119
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,2.09871
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,2.14396
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,2.05072
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,2.15054
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,2.20415
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,2.1972
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,2.31039
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,2.31437
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,2.32224
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,2.27824
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,1.00499
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,1.46015
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,1.46667
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,1.47224
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,1.47718
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,1.50092
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,1.52775
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,1.5185
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,1.53086
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,1.53655
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,1.53427
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,1.54028
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,1.56013
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,1.5843
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,1.58206
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,1.58619
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,1.61053
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,1.61945
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,1.62108
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,1.66428
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,1.66422
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,1.66073
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,1.66645
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,1.66967
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,1.67354
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,1.67906
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,1.68042
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,1.6851
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,1.68156
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,1.68532
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,1.68449
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,1.69106
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,1.72893
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,1.00006
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,1.01131
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,1.01243
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,1.01364
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,1.01567
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,1.01676
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,1.01856
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,1.02019
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,1.02222
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,1.02416
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,1.02575
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,1.02729
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,1.02911
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,1.03009
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,1.03249
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,1.0801
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,1.03564
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,1.06045
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,1.05966
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,1.15021
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,1.04043
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,1.07398
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,1.09299
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,1.11758
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,1.05434
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,1.1181
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,1.13271
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.19799
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,1.36266
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.16022
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,1.13407
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.1251
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,1.18227
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.24894
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.23816
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.28505
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.21518
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.20739
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.33333
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.21281
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,1.18127
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.33931
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.15284
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.22556
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.35059
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.24104
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.41063
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.3509
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,1.50602
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.23085
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.46388
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.21574
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.46105
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.25825
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.2441
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.36846
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.25903
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.4282
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.24233
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.29212
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.2531
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.44013
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.34447
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.37794
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,1.41749
