benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_128crw_1uf,3000000,0.0322277
1,bench1_unpack_1bw_8ow_128crw_1uf,3000000,0.0550088
2,bench2_unpack_2bw_8ow_128crw_1uf,3000000,0.0539283
3,bench3_unpack_3bw_8ow_128crw_1uf,3000000,0.0666194
4,bench4_unpack_4bw_8ow_128crw_1uf,3000000,0.0456485
5,bench5_unpack_5bw_8ow_128crw_1uf,3000000,0.0781488
6,bench6_unpack_6bw_8ow_128crw_1uf,3000000,0.0734947
7,bench7_unpack_7bw_8ow_128crw_1uf,3000000,0.104382
8,bench8_unpack_8bw_8ow_128crw_1uf,3000000,0.0417455
9,bench9_unpack_0bw_16ow_128crw_1uf,3000000,0.0956282
10,bench10_unpack_1bw_16ow_128crw_1uf,3000000,0.135745
11,bench11_unpack_2bw_16ow_128crw_1uf,3000000,0.125007
12,bench12_unpack_3bw_16ow_128crw_1uf,3000000,0.148136
13,bench13_unpack_4bw_16ow_128crw_1uf,3000000,0.132603
14,bench14_unpack_5bw_16ow_128crw_1uf,3000000,0.161066
15,bench15_unpack_6bw_16ow_128crw_1uf,3000000,0.157239
16,bench16_unpack_7bw_16ow_128crw_1uf,3000000,0.170193
17,bench17_unpack_8bw_16ow_128crw_1uf,3000000,0.101812
18,bench18_unpack_9bw_16ow_128crw_1uf,3000000,0.179694
19,bench19_unpack_10bw_16ow_128crw_1uf,3000000,0.18205
20,bench20_unpack_11bw_16ow_128crw_1uf,3000000,0.19959
21,bench21_unpack_12bw_16ow_128crw_1uf,3000000,0.172739
22,bench22_unpack_13bw_16ow_128crw_1uf,3000000,0.207583
23,bench23_unpack_14bw_16ow_128crw_1uf,3000000,0.20645
24,bench24_unpack_15bw_16ow_128crw_1uf,3000000,0.218447
25,bench25_unpack_16bw_16ow_128crw_1uf,3000000,0.115056
26,bench26_unpack_0bw_32ow_128crw_1uf,3000000,0.234732
27,bench27_unpack_1bw_32ow_128crw_1uf,3000000,0.313211
28,bench28_unpack_2bw_32ow_128crw_1uf,3000000,0.323005
29,bench29_unpack_3bw_32ow_128crw_1uf,3000000,0.323828
30,bench30_unpack_4bw_32ow_128crw_1uf,3000000,0.334463
31,bench31_unpack_5bw_32ow_128crw_1uf,3000000,0.337412
32,bench32_unpack_6bw_32ow_128crw_1uf,3000000,0.339026
33,bench33_unpack_7bw_32ow_128crw_1uf,3000000,0.34368
34,bench34_unpack_8bw_32ow_128crw_1uf,3000000,0.343913
35,bench35_unpack_9bw_32ow_128crw_1uf,3000000,0.345204
