benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0322274
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0551431
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0532375
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.0660033
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0460232
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.0776179
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.0740449
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.0903657
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0421073
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.117553
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.12087
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.118278
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.142432
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.11122
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.159252
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.148874
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.169194
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.102563
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.180179
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.17849
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.19212
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.176406
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.207618
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.205244
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.219248
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.11504
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.226166
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.328204
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.327972
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.336271
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.334922
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.340189
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.339957
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.344328
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.34593
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.346795
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.34907
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.348292
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.351737
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.353234
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.357718
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.356406
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.35709
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.381313
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.377408
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.396169
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.377842
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.406938
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.411398
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.421874
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.383228
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.429604
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.432334
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.445757
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.433751
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.466746
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.460848
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.473888
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.380483
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.468771
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.698811
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.69984
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.701124
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.703038
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.707695
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.711045
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.717183
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.713546
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.719208
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.722669
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.72845
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.729453
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.734964
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.736367
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.735709
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.766979
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.740947
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.742634
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.744507
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.745182
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.752006
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.750778
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.755005
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.757021
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.761111
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.761682
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,0.768058
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.767184
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,0.780255
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.770238
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,0.806673
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.766325
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,0.800871
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,0.780551
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,0.820958
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,0.784644
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,0.823273
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,0.792159
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,0.833283
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.788175
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,0.847854
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,0.822617
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,0.85403
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,0.803929
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,0.865387
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,0.852559
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,0.881365
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.801138
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,0.888573
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,0.879569
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,0.908025
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,0.870336
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,0.916634
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,0.918338
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,0.935673
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,0.862129
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,0.951007
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,0.948211
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,0.964992
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,0.91253
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,0.979606
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,0.987782
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,0.996969
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.841364
