benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0143037
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0153001
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0166651
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.0194803
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0194664
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.0240175
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.0237915
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.028564
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0243276
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.0275994
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.0299298
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.0329365
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.0372423
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.0374665
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.042051
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.0425318
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.046811
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.0441439
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.0547707
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.0534959
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.0642037
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.0535093
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.0652873
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.0554295
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.0624953
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.0554035
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.0543825
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.0555161
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.0579993
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.0576987
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.0642153
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.066445
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.0682008
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.0713601
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.0772928
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.0774306
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.0793173
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.0820083
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.083512
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.0862914
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.089308
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.089539
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.0922202
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.0953632
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.0982005
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.100615
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.106979
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.106986
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.112042
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.0947493
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.120356
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.0997028
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.124656
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.105917
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.131848
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.110991
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.126984
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.116792
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.137028
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.107878
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.11299
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.111376
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.114735
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.111012
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.117173
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.121874
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.130851
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.130412
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.131916
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.133247
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.13916
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.133899
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.146506
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.142734
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.151773
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.142683
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.158148
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.15362
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.167551
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.151404
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.173172
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.165392
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.18168
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.171184
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.187277
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.183302
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,0.19511
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.184373
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,0.203776
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.196244
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,0.221298
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.192297
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,0.240424
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,0.214021
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,0.258135
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,0.214016
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,0.27477
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,0.214047
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,0.296303
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.222285
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,0.302791
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,0.22388
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,0.324158
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,0.223979
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,0.358581
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,0.236237
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,0.368175
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.220054
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,0.374562
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,0.246635
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,0.382471
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,0.237121
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,0.401135
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,0.259821
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,0.428007
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,0.240596
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,0.437412
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,0.263607
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,0.470191
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,0.261443
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,0.496325
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,0.414776
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,0.50323
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.266699
