benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_64crw_1uf,3000000,0.107257
1,bench1_unpack_1bw_8ow_64crw_1uf,3000000,0.107244
2,bench2_unpack_2bw_8ow_64crw_1uf,3000000,0.107249
3,bench3_unpack_3bw_8ow_64crw_1uf,3000000,0.111638
4,bench4_unpack_4bw_8ow_64crw_1uf,3000000,0.107219
5,bench5_unpack_5bw_8ow_64crw_1uf,3000000,0.140166
6,bench6_unpack_6bw_8ow_64crw_1uf,3000000,0.135265
7,bench7_unpack_7bw_8ow_64crw_1uf,3000000,0.178373
8,bench8_unpack_8bw_8ow_64crw_1uf,3000000,0.107191
9,bench9_unpack_0bw_16ow_64crw_1uf,3000000,0.211178
10,bench10_unpack_1bw_16ow_64crw_1uf,3000000,0.211213
11,bench11_unpack_2bw_16ow_64crw_1uf,3000000,0.211276
12,bench12_unpack_3bw_16ow_64crw_1uf,3000000,0.222445
13,bench13_unpack_4bw_16ow_64crw_1uf,3000000,0.213931
14,bench14_unpack_5bw_16ow_64crw_1uf,3000000,0.265113
15,bench15_unpack_6bw_16ow_64crw_1uf,3000000,0.254996
16,bench16_unpack_7bw_16ow_64crw_1uf,3000000,0.292274
17,bench17_unpack_8bw_16ow_64crw_1uf,3000000,0.224337
18,bench18_unpack_9bw_16ow_64crw_1uf,3000000,0.317953
19,bench19_unpack_10bw_16ow_64crw_1uf,3000000,0.288199
20,bench20_unpack_11bw_16ow_64crw_1uf,3000000,0.360019
21,bench21_unpack_12bw_16ow_64crw_1uf,3000000,0.27212
22,bench22_unpack_13bw_16ow_64crw_1uf,3000000,0.391338
23,bench23_unpack_14bw_16ow_64crw_1uf,3000000,0.356296
24,bench24_unpack_15bw_16ow_64crw_1uf,3000000,0.449056
25,bench25_unpack_16bw_16ow_64crw_1uf,3000000,0.211253
26,bench26_unpack_0bw_32ow_64crw_1uf,3000000,0.211249
27,bench27_unpack_1bw_32ow_64crw_1uf,3000000,0.419154
28,bench28_unpack_2bw_32ow_64crw_1uf,3000000,0.41917
29,bench29_unpack_3bw_32ow_64crw_1uf,3000000,0.419234
30,bench30_unpack_4bw_32ow_64crw_1uf,3000000,0.419245
31,bench31_unpack_5bw_32ow_64crw_1uf,3000000,0.419228
32,bench32_unpack_6bw_32ow_64crw_1uf,3000000,0.419229
33,bench33_unpack_7bw_32ow_64crw_1uf,3000000,0.44351
34,bench34_unpack_8bw_32ow_64crw_1uf,3000000,0.419218
35,bench35_unpack_9bw_32ow_64crw_1uf,3000000,0.485203
36,bench36_unpack_10bw_32ow_64crw_1uf,3000000,0.441013
37,bench37_unpack_11bw_32ow_64crw_1uf,3000000,0.521565
38,bench38_unpack_12bw_32ow_64crw_1uf,3000000,0.434305
39,bench39_unpack_13bw_32ow_64crw_1uf,3000000,0.570857
40,bench40_unpack_14bw_32ow_64crw_1uf,3000000,0.5453
41,bench41_unpack_15bw_32ow_64crw_1uf,3000000,0.621804
42,bench42_unpack_16bw_32ow_64crw_1uf,3000000,0.419265
43,bench43_unpack_17bw_32ow_64crw_1uf,3000000,0.683214
44,bench44_unpack_18bw_32ow_64crw_1uf,3000000,0.62417
45,bench45_unpack_19bw_32ow_64crw_1uf,3000000,0.718898
46,bench46_unpack_20bw_32ow_64crw_1uf,3000000,0.531967
47,bench47_unpack_21bw_32ow_64crw_1uf,3000000,0.732689
48,bench48_unpack_22bw_32ow_64crw_1uf,3000000,0.739867
49,bench49_unpack_23bw_32ow_64crw_1uf,3000000,0.795817
50,bench50_unpack_24bw_32ow_64crw_1uf,3000000,0.540989
51,bench51_unpack_25bw_32ow_64crw_1uf,3000000,0.8326
52,bench52_unpack_26bw_32ow_64crw_1uf,3000000,0.800697
53,bench53_unpack_27bw_32ow_64crw_1uf,3000000,0.888771
54,bench54_unpack_28bw_32ow_64crw_1uf,3000000,0.763528
55,bench55_unpack_29bw_32ow_64crw_1uf,3000000,0.9066
56,bench56_unpack_30bw_32ow_64crw_1uf,3000000,0.861878
57,bench57_unpack_31bw_32ow_64crw_1uf,3000000,0.983812
58,bench58_unpack_32bw_32ow_64crw_1uf,3000000,0.419082
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.416778
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.832662
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.832647
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.832691
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.832548
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.832636
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.832646
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.832748
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.832674
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.83262
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.832789
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.832745
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.832677
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.83268
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.83267
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.832676
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.832595
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.832784
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.832682
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.832751
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.832722
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.832692
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.832741
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.832608
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.832623
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.832711
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.832876
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,0.832778
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.832737
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,0.83388
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.832954
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,0.85065
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.832622
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.01368
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.01254
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,0.98888
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,0.949343
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.0066
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.02702
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.03228
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.939415
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.05161
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.12234
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.05323
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.09741
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.07829
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.15251
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.08985
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.909868
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.10746
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.24018
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.12026
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.22363
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.10702
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.26429
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.12603
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.03244
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.12028
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.28207
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.10819
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.32771
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.13169
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.32904
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.12698
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.648564
