benchmark_number,name,iterations,cycles_per_tuple
1,rle_scalar,3000000,0.0536696
1,rle_simd,3000000,0.107051
2,rle_scalar,3000000,0.0713311
2,rle_simd,3000000,0.0869981
3,rle_scalar,3000000,0.0829019
3,rle_simd,3000000,0.0876985
4,rle_scalar,3000000,0.0803278
4,rle_simd,3000000,0.0822653
5,rle_scalar,3000000,0.0944744
5,rle_simd,3000000,0.0853466
6,rle_scalar,3000000,0.098478
6,rle_simd,3000000,0.0930263
7,rle_scalar,3000000,0.106354
7,rle_simd,3000000,0.0995562
8,rle_scalar,3000000,0.121338
8,rle_simd,3000000,0.0898838
9,rle_scalar,3000000,0.177942
9,rle_simd,3000000,0.101179
10,rle_scalar,3000000,0.197438
10,rle_simd,3000000,0.105241
11,rle_scalar,3000000,0.186844
11,rle_simd,3000000,0.111698
12,rle_scalar,3000000,0.188126
12,rle_simd,3000000,0.101047
13,rle_scalar,3000000,0.202176
13,rle_simd,3000000,0.113601
14,rle_scalar,3000000,0.21753
14,rle_simd,3000000,0.117293
15,rle_scalar,3000000,0.223295
15,rle_simd,3000000,0.12251
16,rle_scalar,3000000,0.213407
16,rle_simd,3000000,0.122233
17,rle_scalar,3000000,0.251862
17,rle_simd,3000000,0.137485
18,rle_scalar,3000000,0.242164
18,rle_simd,3000000,0.135953
19,rle_scalar,3000000,0.236849
19,rle_simd,3000000,0.136479
20,rle_scalar,3000000,0.268169
20,rle_simd,3000000,0.142816
21,rle_scalar,3000000,0.274116
21,rle_simd,3000000,0.146408
22,rle_scalar,3000000,0.288749
22,rle_simd,3000000,0.157353
23,rle_scalar,3000000,0.298275
23,rle_simd,3000000,0.160352
24,rle_scalar,3000000,0.295317
24,rle_simd,3000000,0.162704
25,rle_scalar,3000000,0.302913
25,rle_simd,3000000,0.168142
26,rle_scalar,3000000,0.317253
26,rle_simd,3000000,0.15645
27,rle_scalar,3000000,0.352939
27,rle_simd,3000000,0.160734
28,rle_scalar,3000000,0.33619
28,rle_simd,3000000,0.179736
29,rle_scalar,3000000,0.327445
29,rle_simd,3000000,0.158628
30,rle_scalar,3000000,0.391341
30,rle_simd,3000000,0.134591
31,rle_scalar,3000000,0.372346
31,rle_simd,3000000,0.154134
32,rle_scalar,3000000,0.392214
32,rle_simd,3000000,0.127732
33,rle_scalar,3000000,0.413087
33,rle_simd,3000000,0.130896
34,rle_scalar,3000000,0.400496
34,rle_simd,3000000,0.135662
35,rle_scalar,3000000,0.405409
35,rle_simd,3000000,0.140392
36,rle_scalar,3000000,0.426953
36,rle_simd,3000000,0.139288
37,rle_scalar,3000000,0.446548
37,rle_simd,3000000,0.141663
38,rle_scalar,3000000,0.455511
38,rle_simd,3000000,0.139859
39,rle_scalar,3000000,0.450238
39,rle_simd,3000000,0.146677
40,rle_scalar,3000000,0.45689
40,rle_simd,3000000,0.149832
41,rle_scalar,3000000,0.473802
41,rle_simd,3000000,0.14907
42,rle_scalar,3000000,0.448811
42,rle_simd,3000000,0.154113
43,rle_scalar,3000000,0.460373
43,rle_simd,3000000,0.155698
44,rle_scalar,3000000,0.465172
44,rle_simd,3000000,0.159915
45,rle_scalar,3000000,0.477123
45,rle_simd,3000000,0.162492
46,rle_scalar,3000000,0.496114
46,rle_simd,3000000,0.16753
47,rle_scalar,3000000,0.5175
47,rle_simd,3000000,0.168273
48,rle_scalar,3000000,0.508496
48,rle_simd,3000000,0.174933
49,rle_scalar,3000000,0.497726
49,rle_simd,3000000,0.172514
50,rle_scalar,3000000,0.528018
50,rle_simd,3000000,0.179174
51,rle_scalar,3000000,0.516316
51,rle_simd,3000000,0.17911
52,rle_scalar,3000000,0.509733
52,rle_simd,3000000,0.185779
53,rle_scalar,3000000,0.539751
53,rle_simd,3000000,0.19368
54,rle_scalar,3000000,0.558134
54,rle_simd,3000000,0.196907
55,rle_scalar,3000000,0.551895
55,rle_simd,3000000,0.200445
56,rle_scalar,3000000,0.549513
56,rle_simd,3000000,0.199179
57,rle_scalar,3000000,0.559009
57,rle_simd,3000000,0.198374
58,rle_scalar,3000000,0.553016
58,rle_simd,3000000,0.204208
59,rle_scalar,3000000,0.622706
59,rle_simd,3000000,0.205181
60,rle_scalar,3000000,0.626285
60,rle_simd,3000000,0.215125
61,rle_scalar,3000000,0.628234
61,rle_simd,3000000,0.218588
62,rle_scalar,3000000,0.64703
62,rle_simd,3000000,0.21762
63,rle_scalar,3000000,0.64504
63,rle_simd,3000000,0.225966
64,rle_scalar,3000000,0.650497
64,rle_simd,3000000,0.228431
65,rle_scalar,3000000,0.686495
65,rle_simd,3000000,0.226809
66,rle_scalar,3000000,0.658276
66,rle_simd,3000000,0.226127
67,rle_scalar,3000000,0.67481
67,rle_simd,3000000,0.23765
68,rle_scalar,3000000,0.690937
68,rle_simd,3000000,0.237818
69,rle_scalar,3000000,0.731515
69,rle_simd,3000000,0.245306
70,rle_scalar,3000000,0.724834
70,rle_simd,3000000,0.253193
71,rle_scalar,3000000,0.71701
71,rle_simd,3000000,0.251976
72,rle_scalar,3000000,0.760729
72,rle_simd,3000000,0.258306
73,rle_scalar,3000000,0.755678
73,rle_simd,3000000,0.259612
74,rle_scalar,3000000,0.721518
74,rle_simd,3000000,0.255239
75,rle_scalar,3000000,0.782746
75,rle_simd,3000000,0.26111
76,rle_scalar,3000000,0.802332
76,rle_simd,3000000,0.268205
77,rle_scalar,3000000,0.781728
77,rle_simd,3000000,0.272937
78,rle_scalar,3000000,0.80073
78,rle_simd,3000000,0.271134
79,rle_scalar,3000000,0.797971
79,rle_simd,3000000,0.280377
80,rle_scalar,3000000,0.777731
80,rle_simd,3000000,0.2839
81,rle_scalar,3000000,0.802396
81,rle_simd,3000000,0.282865
82,rle_scalar,3000000,0.815205
82,rle_simd,3000000,0.289773
83,rle_scalar,3000000,0.839179
83,rle_simd,3000000,0.293703
84,rle_scalar,3000000,0.833675
84,rle_simd,3000000,0.287137
85,rle_scalar,3000000,0.843878
85,rle_simd,3000000,0.299532
86,rle_scalar,3000000,0.814408
86,rle_simd,3000000,0.301219
87,rle_scalar,3000000,0.862385
87,rle_simd,3000000,0.305438
88,rle_scalar,3000000,0.885235
88,rle_simd,3000000,0.312455
89,rle_scalar,3000000,0.883939
89,rle_simd,3000000,0.315689
90,rle_scalar,3000000,0.842321
90,rle_simd,3000000,0.318032
91,rle_scalar,3000000,0.904779
91,rle_simd,3000000,0.32333
92,rle_scalar,3000000,0.870874
92,rle_simd,3000000,0.32478
93,rle_scalar,3000000,0.929305
93,rle_simd,3000000,0.327421
94,rle_scalar,3000000,0.904422
94,rle_simd,3000000,0.332302
95,rle_scalar,3000000,0.924749
95,rle_simd,3000000,0.333163
96,rle_scalar,3000000,0.924275
96,rle_simd,3000000,0.333107
97,rle_scalar,3000000,0.951436
97,rle_simd,3000000,0.337275
98,rle_scalar,3000000,0.941137
98,rle_simd,3000000,0.346821
99,rle_scalar,3000000,0.912943
99,rle_simd,3000000,0.344688
100,rle_scalar,3000000,0.96164
100,rle_simd,3000000,0.34741
101,rle_scalar,3000000,0.934086
101,rle_simd,3000000,0.354094
102,rle_scalar,3000000,0.969007
102,rle_simd,3000000,0.356615
103,rle_scalar,3000000,0.958317
103,rle_simd,3000000,0.363999
104,rle_scalar,3000000,0.933745
104,rle_simd,3000000,0.364182
105,rle_scalar,3000000,0.977585
105,rle_simd,3000000,0.369199
106,rle_scalar,3000000,0.979533
106,rle_simd,3000000,0.37193
107,rle_scalar,3000000,0.968126
107,rle_simd,3000000,0.37426
108,rle_scalar,3000000,1.00384
108,rle_simd,3000000,0.375003
109,rle_scalar,3000000,1.00904
109,rle_simd,3000000,0.383325
110,rle_scalar,3000000,1.00857
110,rle_simd,3000000,0.382628
111,rle_scalar,3000000,0.991058
111,rle_simd,3000000,0.3886
112,rle_scalar,3000000,1.02515
112,rle_simd,3000000,0.389892
113,rle_scalar,3000000,1.01705
113,rle_simd,3000000,0.389878
114,rle_scalar,3000000,1.03342
114,rle_simd,3000000,0.394943
115,rle_scalar,3000000,0.990882
115,rle_simd,3000000,0.401918
116,rle_scalar,3000000,1.0446
116,rle_simd,3000000,0.401667
117,rle_scalar,3000000,1.0584
117,rle_simd,3000000,0.409043
118,rle_scalar,3000000,1.00678
118,rle_simd,3000000,0.411599
119,rle_scalar,3000000,1.04503
119,rle_simd,3000000,0.415998
120,rle_scalar,3000000,1.05172
120,rle_simd,3000000,0.418568
121,rle_scalar,3000000,1.01977
121,rle_simd,3000000,0.424213
122,rle_scalar,3000000,1.06237
122,rle_simd,3000000,0.426951
123,rle_scalar,3000000,1.08987
123,rle_simd,3000000,0.430843
124,rle_scalar,3000000,1.07023
124,rle_simd,3000000,0.466959
125,rle_scalar,3000000,1.07807
125,rle_simd,3000000,0.434537
126,rle_scalar,3000000,1.10522
126,rle_simd,3000000,0.437759
127,rle_scalar,3000000,1.06317
127,rle_simd,3000000,0.44269
128,rle_scalar,3000000,1.10495
128,rle_simd,3000000,0.445193
129,rle_scalar,3000000,1.14449
129,rle_simd,3000000,0.447775
130,rle_scalar,3000000,1.08332
130,rle_simd,3000000,0.448781
131,rle_scalar,3000000,1.09466
131,rle_simd,3000000,0.457004
132,rle_scalar,3000000,1.12133
132,rle_simd,3000000,0.460208
133,rle_scalar,3000000,1.12897
133,rle_simd,3000000,0.461331
134,rle_scalar,3000000,1.11123
134,rle_simd,3000000,0.466423
135,rle_scalar,3000000,1.13214
135,rle_simd,3000000,0.470538
136,rle_scalar,3000000,1.11812
136,rle_simd,3000000,0.473906
137,rle_scalar,3000000,1.12363
137,rle_simd,3000000,0.475308
138,rle_scalar,3000000,1.13327
138,rle_simd,3000000,0.479849
139,rle_scalar,3000000,1.15485
139,rle_simd,3000000,0.480355
140,rle_scalar,3000000,1.15999
140,rle_simd,3000000,0.531885
141,rle_scalar,3000000,1.15523
141,rle_simd,3000000,0.534294
142,rle_scalar,3000000,1.14096
142,rle_simd,3000000,0.536422
143,rle_scalar,3000000,1.15583
143,rle_simd,3000000,0.541538
144,rle_scalar,3000000,1.15635
144,rle_simd,3000000,0.548822
145,rle_scalar,3000000,1.13545
145,rle_simd,3000000,0.546832
146,rle_scalar,3000000,1.22712
146,rle_simd,3000000,0.543824
147,rle_scalar,3000000,1.19458
147,rle_simd,3000000,0.538294
148,rle_scalar,3000000,1.1549
148,rle_simd,3000000,0.552985
149,rle_scalar,3000000,1.14162
149,rle_simd,3000000,0.560452
150,rle_scalar,3000000,1.17226
150,rle_simd,3000000,0.56604
151,rle_scalar,3000000,1.21069
151,rle_simd,3000000,0.569787
152,rle_scalar,3000000,1.17496
152,rle_simd,3000000,0.567735
153,rle_scalar,3000000,1.19643
153,rle_simd,3000000,0.573433
154,rle_scalar,3000000,1.16405
154,rle_simd,3000000,0.577892
155,rle_scalar,3000000,1.20639
155,rle_simd,3000000,0.582755
156,rle_scalar,3000000,1.17608
156,rle_simd,3000000,0.582059
157,rle_scalar,3000000,1.20388
157,rle_simd,3000000,0.587172
158,rle_scalar,3000000,1.22104
158,rle_simd,3000000,0.588189
159,rle_scalar,3000000,1.18032
159,rle_simd,3000000,0.594505
160,rle_scalar,3000000,1.22908
160,rle_simd,3000000,0.594579
161,rle_scalar,3000000,1.21384
161,rle_simd,3000000,0.603318
162,rle_scalar,3000000,1.23055
162,rle_simd,3000000,0.602524
163,rle_scalar,3000000,1.25163
163,rle_simd,3000000,0.608291
164,rle_scalar,3000000,1.21652
164,rle_simd,3000000,0.60903
165,rle_scalar,3000000,1.21152
165,rle_simd,3000000,0.612958
166,rle_scalar,3000000,1.24817
166,rle_simd,3000000,0.614327
167,rle_scalar,3000000,1.2465
167,rle_simd,3000000,0.619225
168,rle_scalar,3000000,1.2399
