benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.0911507
0,4way_bitunpack_1,3000000,0.195601
0,4way_bitunpack_2,3000000,0.195102
0,4way_bitunpack_3,3000000,0.201433
0,4way_bitunpack_4,3000000,0.188481
0,4way_bitunpack_5,3000000,0.211266
0,4way_bitunpack_6,3000000,0.208006
0,4way_bitunpack_7,3000000,0.221071
0,4way_bitunpack_8,3000000,0.155961
0,4way_bitunpack_9,3000000,0.227516
0,4way_bitunpack_10,3000000,0.224256
0,4way_bitunpack_11,3000000,0.234173
0,4way_bitunpack_12,3000000,0.220909
0,4way_bitunpack_13,3000000,0.242711
0,4way_bitunpack_14,3000000,0.240492
0,4way_bitunpack_15,3000000,0.250228
0,4way_bitunpack_16,3000000,0.156009
0,4way_bitunpack_17,3000000,0.259997
0,4way_bitunpack_18,3000000,0.255604
0,4way_bitunpack_19,3000000,0.266564
0,4way_bitunpack_20,3000000,0.25027
0,4way_bitunpack_21,3000000,0.273031
0,4way_bitunpack_22,3000000,0.272957
0,4way_bitunpack_23,3000000,0.281627
0,4way_bitunpack_24,3000000,0.221044
0,4way_bitunpack_25,3000000,0.289227
0,4way_bitunpack_26,3000000,0.286035
0,4way_bitunpack_27,3000000,0.298962
0,4way_bitunpack_28,3000000,0.28167
0,4way_bitunpack_29,3000000,0.305538
0,4way_bitunpack_30,3000000,0.301178
0,4way_bitunpack_31,3000000,0.311963
0,4way_bitunpack_32,3000000,0.141019
