benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_64crw_1uf,3000000,0.132108
1,bench1_unpack_1bw_8ow_64crw_1uf,3000000,0.149356
2,bench2_unpack_2bw_8ow_64crw_1uf,3000000,0.143923
3,bench3_unpack_3bw_8ow_64crw_1uf,3000000,0.159214
4,bench4_unpack_4bw_8ow_64crw_1uf,3000000,0.142021
5,bench5_unpack_5bw_8ow_64crw_1uf,3000000,0.188422
6,bench6_unpack_6bw_8ow_64crw_1uf,3000000,0.186027
7,bench7_unpack_7bw_8ow_64crw_1uf,3000000,0.24659
8,bench8_unpack_8bw_8ow_64crw_1uf,3000000,0.132084
9,bench9_unpack_0bw_16ow_64crw_1uf,3000000,0.25732
10,bench10_unpack_1bw_16ow_64crw_1uf,3000000,0.288542
11,bench11_unpack_2bw_16ow_64crw_1uf,3000000,0.302159
12,bench12_unpack_3bw_16ow_64crw_1uf,3000000,0.323989
13,bench13_unpack_4bw_16ow_64crw_1uf,3000000,0.311644
14,bench14_unpack_5bw_16ow_64crw_1uf,3000000,0.364058
15,bench15_unpack_6bw_16ow_64crw_1uf,3000000,0.381544
16,bench16_unpack_7bw_16ow_64crw_1uf,3000000,0.427913
17,bench17_unpack_8bw_16ow_64crw_1uf,3000000,0.300725
18,bench18_unpack_9bw_16ow_64crw_1uf,3000000,0.438191
19,bench19_unpack_10bw_16ow_64crw_1uf,3000000,0.382883
20,bench20_unpack_11bw_16ow_64crw_1uf,3000000,0.465762
21,bench21_unpack_12bw_16ow_64crw_1uf,3000000,0.373617
22,bench22_unpack_13bw_16ow_64crw_1uf,3000000,0.528388
23,bench23_unpack_14bw_16ow_64crw_1uf,3000000,0.485998
24,bench24_unpack_15bw_16ow_64crw_1uf,3000000,0.621351
25,bench25_unpack_16bw_16ow_64crw_1uf,3000000,0.257382
26,bench26_unpack_0bw_32ow_64crw_1uf,3000000,0.507785
27,bench27_unpack_1bw_32ow_64crw_1uf,3000000,0.534933
28,bench28_unpack_2bw_32ow_64crw_1uf,3000000,0.581945
29,bench29_unpack_3bw_32ow_64crw_1uf,3000000,0.631576
30,bench30_unpack_4bw_32ow_64crw_1uf,3000000,0.593055
31,bench31_unpack_5bw_32ow_64crw_1uf,3000000,0.674532
32,bench32_unpack_6bw_32ow_64crw_1uf,3000000,0.636778
33,bench33_unpack_7bw_32ow_64crw_1uf,3000000,0.681941
34,bench34_unpack_8bw_32ow_64crw_1uf,3000000,0.606164
35,bench35_unpack_9bw_32ow_64crw_1uf,3000000,0.76149
36,bench36_unpack_10bw_32ow_64crw_1uf,3000000,0.712724
37,bench37_unpack_11bw_32ow_64crw_1uf,3000000,0.794137
38,bench38_unpack_12bw_32ow_64crw_1uf,3000000,0.726719
39,bench39_unpack_13bw_32ow_64crw_1uf,3000000,0.842783
40,bench40_unpack_14bw_32ow_64crw_1uf,3000000,0.824397
41,bench41_unpack_15bw_32ow_64crw_1uf,3000000,0.879136
42,bench42_unpack_16bw_32ow_64crw_1uf,3000000,0.609776
43,bench43_unpack_17bw_32ow_64crw_1uf,3000000,0.911511
44,bench44_unpack_18bw_32ow_64crw_1uf,3000000,0.884046
45,bench45_unpack_19bw_32ow_64crw_1uf,3000000,0.950925
46,bench46_unpack_20bw_32ow_64crw_1uf,3000000,0.834472
47,bench47_unpack_21bw_32ow_64crw_1uf,3000000,1.012
48,bench48_unpack_22bw_32ow_64crw_1uf,3000000,0.999319
49,bench49_unpack_23bw_32ow_64crw_1uf,3000000,1.06448
50,bench50_unpack_24bw_32ow_64crw_1uf,3000000,0.82583
51,bench51_unpack_25bw_32ow_64crw_1uf,3000000,1.116
52,bench52_unpack_26bw_32ow_64crw_1uf,3000000,1.06478
53,bench53_unpack_27bw_32ow_64crw_1uf,3000000,1.17133
54,bench54_unpack_28bw_32ow_64crw_1uf,3000000,1.04115
55,bench55_unpack_29bw_32ow_64crw_1uf,3000000,1.20371
56,bench56_unpack_30bw_32ow_64crw_1uf,3000000,1.21737
57,bench57_unpack_31bw_32ow_64crw_1uf,3000000,1.38852
58,bench58_unpack_32bw_32ow_64crw_1uf,3000000,0.508308
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,1.00287
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,1.00356
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,1.00462
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,1.00548
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,1.00604
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,1.0082
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,1.0072
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,1.00733
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,1.00633
