benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0_8,3000000,0.60379
1,bitunpack_1_8,3000000,1.13048
2,bitunpack_2_8,3000000,1.12962
3,bitunpack_3_8,3000000,1.4019
4,bitunpack_4_8,3000000,1.12737
5,bitunpack_5_8,3000000,1.68968
6,bitunpack_6_8,3000000,1.55233
7,bitunpack_7_8,3000000,1.73838
8,bitunpack_8_8,3000000,1.12726
9,bitunpack_0_16,3000000,0.313112
10,bitunpack_1_16,3000000,1.06854
11,bitunpack_2_16,3000000,1.06617
12,bitunpack_3_16,3000000,1.31503
13,bitunpack_3_16,3000000,1.06474
14,bitunpack_4_16,3000000,1.44021
15,bitunpack_6,3000000,1.06537
16,bitunpack_7,3000000,1.44034
17,bitunpack_16,3000000,1.06459
18,bitunpack_0,3000000,1.19075
19,bitunpack_1,3000000,1.06454
20,bitunpack_2,3000000,1.06448
21,bitunpack_3,3000000,1.06452
22,bitunpack_4,3000000,1.06463
23,bitunpack_5,3000000,1.0646
24,bitunpack_6,3000000,1.06457
25,bitunpack_7,3000000,1.06465
26,bitunpack_0,3000000,0.281769
27,bitunpack_1,3000000,1.03698
28,bitunpack_2,3000000,1.03722
29,bitunpack_3,3000000,1.03425
30,bitunpack_4,3000000,1.0336
31,bitunpack_5,3000000,1.03328
32,bitunpack_6,3000000,1.03367
33,bitunpack_7,3000000,1.03373
34,bitunpack_32,3000000,1.0332
0,bitunpack_0,3000000,1.03353
0,bitunpack_1,3000000,1.03347
0,bitunpack_2,3000000,1.03336
0,bitunpack_3,3000000,1.03337
0,bitunpack_4,3000000,1.03331
0,bitunpack_5,3000000,1.03331
0,bitunpack_6,3000000,1.03327
0,bitunpack_7,3000000,1.03318
0,bitunpack_0,3000000,1.03319
0,bitunpack_1,3000000,1.44662
0,bitunpack_2,3000000,1.44446
0,bitunpack_3,3000000,1.41345
0,bitunpack_4,3000000,1.43258
0,bitunpack_5,3000000,1.4485
0,bitunpack_6,3000000,1.42777
0,bitunpack_7,3000000,1.03323
0,bitunpack_32,3000000,1.41625
0,bitunpack_0,3000000,1.41627
0,bitunpack_1,3000000,1.40988
0,bitunpack_2,3000000,1.38474
0,bitunpack_3,3000000,1.03325
0,bitunpack_4,3000000,1.4392
0,bitunpack_5,3000000,1.44729
0,bitunpack_6,3000000,1.03327
0,bitunpack_0,3000000,0.532264
0,bitunpack_1,3000000,1.03505
0,bitunpack_2,3000000,1.03715
0,bitunpack_3,3000000,1.06451
0,bitunpack_4,3000000,1.03412
0,bitunpack_5,3000000,1.12722
0,bitunpack_6,3000000,1.09593
0,bitunpack_7,3000000,1.15847
0,bitunpack_32,3000000,1.03322
0,bitunpack_0,3000000,1.18981
0,bitunpack_1,3000000,1.18975
0,bitunpack_2,3000000,1.25249
0,bitunpack_3,3000000,1.15855
0,bitunpack_4,3000000,1.28389
0,bitunpack_5,3000000,1.28381
0,bitunpack_6,3000000,1.34636
0,bitunpack_7,3000000,1.03324
0,bitunpack_0,3000000,1.37768
0,bitunpack_1,3000000,1.64825
0,bitunpack_2,3000000,1.59783
0,bitunpack_3,3000000,1.55553
0,bitunpack_4,3000000,1.68743
0,bitunpack_5,3000000,1.69917
0,bitunpack_6,3000000,1.63403
0,bitunpack_7,3000000,1.18974
0,bitunpack_32,3000000,1.65947
0,bitunpack_0,3000000,1.6594
0,bitunpack_1,3000000,1.72211
0,bitunpack_2,3000000,1.63458
0,bitunpack_3,3000000,1.79931
0,bitunpack_4,3000000,1.75354
0,bitunpack_5,3000000,1.81591
0,bitunpack_6,3000000,1.0332
0,bitunpack_0,3000000,1.86993
0,bitunpack_1,3000000,1.72207
0,bitunpack_2,3000000,1.90988
0,bitunpack_3,3000000,1.78484
0,bitunpack_4,3000000,1.94126
0,bitunpack_5,3000000,1.9412
0,bitunpack_6,3000000,2.00386
0,bitunpack_7,3000000,1.79623
0,bitunpack_32,3000000,2.08784
0,bitunpack_0,3000000,2.05455
0,bitunpack_1,3000000,2.19521
0,bitunpack_2,3000000,2.01301
0,bitunpack_3,3000000,2.13649
0,bitunpack_4,3000000,2.15123
0,bitunpack_5,3000000,2.1917
0,bitunpack_6,3000000,1.67907
0,bitunpack_7,3000000,2.22316
0,bitunpack_0,3000000,2.22302
0,bitunpack_1,3000000,2.44811
0,bitunpack_2,3000000,2.17212
0,bitunpack_3,3000000,2.33987
0,bitunpack_4,3000000,2.31697
0,bitunpack_5,3000000,2.39034
0,bitunpack_6,3000000,2.036
0,bitunpack_7,3000000,2.41525
0,bitunpack_32,3000000,2.40304
0,bitunpack_0,3000000,2.47534
0,bitunpack_1,3000000,2.45527
0,bitunpack_2,3000000,2.50472
0,bitunpack_3,3000000,2.50489
0,bitunpack_4,3000000,2.66742
0,bitunpack_5,3000000,1.03317
