benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0344667
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0351588
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0351635
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.0375108
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0384907
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.0454897
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.0411944
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.0537284
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0394784
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.0634848
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.0669514
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.0673552
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.0751261
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.0712402
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.0776527
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.0777203
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.0869131
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.0748286
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.0948032
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.0893096
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.102681
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.0813504
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.110814
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.105945
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.119594
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.0784297
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.128005
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.135626
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.143366
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.150991
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.152043
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.148143
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.151368
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.154633
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.155827
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.161858
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.156784
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.169536
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.157447
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.178726
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.172656
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.186257
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.157287
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.194519
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.188586
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.203226
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.180473
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.211274
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.205505
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.219138
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.163117
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.227152
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.220708
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.235496
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.211101
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.243877
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.236713
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.255364
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.160035
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.251027
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.260165
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.265714
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.27347
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.281607
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.289226
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.296834
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.303445
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.299204
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.292042
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.291033
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.30153
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.297481
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.308262
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.30333
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.315894
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.306418
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.325517
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.319222
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.333214
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.309941
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.34177
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.334765
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.350369
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.307651
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.358363
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.35045
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,0.366364
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.34132
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,0.375274
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.366085
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,0.383722
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.309021
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,0.394951
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,0.38214
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,0.406389
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,0.372549
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,0.417744
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,0.397881
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,0.429635
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.356468
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,0.442581
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,0.415408
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,0.457477
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,0.406105
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,0.472996
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,0.436367
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,0.488634
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.334555
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,0.504862
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,0.462509
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,0.521261
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,0.453473
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,0.536893
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,0.486801
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,0.543202
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,0.434176
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,0.556934
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,0.498741
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,0.571904
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,0.488409
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,0.587037
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,0.5365
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,0.602604
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.340516
