benchmark_number,name,iterations,cycles_per_tuple
1,rle_scalar,3000000,0.251936
2,rle_scalar,3000000,0.262254
3,rle_scalar,3000000,0.282041
4,rle_scalar,3000000,0.278402
5,rle_scalar,3000000,0.280982
6,rle_scalar,3000000,0.291818
7,rle_scalar,3000000,0.311699
8,rle_scalar,3000000,0.300175
9,rle_scalar,3000000,0.290994
10,rle_scalar,3000000,0.303955
11,rle_scalar,3000000,0.294422
12,rle_scalar,3000000,0.321964
13,rle_scalar,3000000,0.351458
14,rle_scalar,3000000,0.367805
15,rle_scalar,3000000,0.349553
16,rle_scalar,3000000,0.376436
17,rle_scalar,3000000,0.398095
18,rle_scalar,3000000,0.377765
19,rle_scalar,3000000,0.408897
20,rle_scalar,3000000,0.399959
21,rle_scalar,3000000,0.386428
22,rle_scalar,3000000,0.424465
23,rle_scalar,3000000,0.428253
24,rle_scalar,3000000,0.467377
25,rle_scalar,3000000,0.472715
26,rle_scalar,3000000,0.493447
27,rle_scalar,3000000,0.486365
28,rle_scalar,3000000,0.507766
29,rle_scalar,3000000,0.546111
30,rle_scalar,3000000,0.531851
31,rle_scalar,3000000,0.519184
32,rle_scalar,3000000,0.648349
33,rle_scalar,3000000,0.638448
34,rle_scalar,3000000,0.6344
35,rle_scalar,3000000,0.608436
36,rle_scalar,3000000,0.662669
37,rle_scalar,3000000,0.679033
38,rle_scalar,3000000,0.757063
39,rle_scalar,3000000,0.683361
40,rle_scalar,3000000,0.701457
41,rle_scalar,3000000,0.756414
42,rle_scalar,3000000,0.728334
43,rle_scalar,3000000,0.758139
44,rle_scalar,3000000,0.725927
45,rle_scalar,3000000,0.722236
46,rle_scalar,3000000,0.74338
47,rle_scalar,3000000,0.731697
48,rle_scalar,3000000,0.806301
49,rle_scalar,3000000,0.780768
50,rle_scalar,3000000,0.760074
51,rle_scalar,3000000,0.692175
52,rle_scalar,3000000,0.762945
53,rle_scalar,3000000,0.855687
54,rle_scalar,3000000,0.791426
55,rle_scalar,3000000,0.745702
56,rle_scalar,3000000,0.805442
57,rle_scalar,3000000,0.812235
58,rle_scalar,3000000,0.874887
59,rle_scalar,3000000,0.862586
60,rle_scalar,3000000,0.886877
61,rle_scalar,3000000,0.865463
62,rle_scalar,3000000,0.86634
63,rle_scalar,3000000,1.01246
64,rle_scalar,3000000,0.969814
65,rle_scalar,3000000,1.02726
66,rle_scalar,3000000,0.9439
67,rle_scalar,3000000,1.05969
68,rle_scalar,3000000,1.04248
69,rle_scalar,3000000,1.07319
70,rle_scalar,3000000,1.10367
71,rle_scalar,3000000,1.11328
72,rle_scalar,3000000,1.1065
73,rle_scalar,3000000,1.2108
74,rle_scalar,3000000,1.1898
75,rle_scalar,3000000,1.16869
76,rle_scalar,3000000,1.1451
77,rle_scalar,3000000,1.19514
78,rle_scalar,3000000,1.25869
79,rle_scalar,3000000,1.19343
80,rle_scalar,3000000,1.24774
81,rle_scalar,3000000,1.2166
82,rle_scalar,3000000,1.27258
83,rle_scalar,3000000,1.27454
84,rle_scalar,3000000,1.27205
85,rle_scalar,3000000,1.33174
86,rle_scalar,3000000,1.31107
87,rle_scalar,3000000,1.34824
88,rle_scalar,3000000,1.34493
89,rle_scalar,3000000,1.33603
90,rle_scalar,3000000,1.44168
91,rle_scalar,3000000,1.37875
92,rle_scalar,3000000,1.39216
93,rle_scalar,3000000,1.40445
94,rle_scalar,3000000,1.46507
95,rle_scalar,3000000,1.47082
96,rle_scalar,3000000,1.40508
97,rle_scalar,3000000,1.51569
98,rle_scalar,3000000,1.49485
99,rle_scalar,3000000,1.5663
100,rle_scalar,3000000,1.41727
101,rle_scalar,3000000,1.47974
102,rle_scalar,3000000,1.51892
103,rle_scalar,3000000,1.52186
104,rle_scalar,3000000,1.53147
105,rle_scalar,3000000,1.54118
106,rle_scalar,3000000,1.5577
107,rle_scalar,3000000,1.47274
108,rle_scalar,3000000,1.53939
109,rle_scalar,3000000,1.54874
110,rle_scalar,3000000,1.49602
111,rle_scalar,3000000,1.5582
112,rle_scalar,3000000,1.52377
113,rle_scalar,3000000,1.61404
114,rle_scalar,3000000,1.6098
115,rle_scalar,3000000,1.64209
116,rle_scalar,3000000,1.63837
117,rle_scalar,3000000,1.59551
118,rle_scalar,3000000,1.5782
119,rle_scalar,3000000,1.64012
120,rle_scalar,3000000,1.63946
121,rle_scalar,3000000,1.65086
122,rle_scalar,3000000,1.65235
123,rle_scalar,3000000,1.65695
124,rle_scalar,3000000,1.65384
125,rle_scalar,3000000,1.67483
126,rle_scalar,3000000,1.63001
127,rle_scalar,3000000,1.68093
128,rle_scalar,3000000,1.69531
129,rle_scalar,3000000,1.68006
130,rle_scalar,3000000,1.70112
131,rle_scalar,3000000,1.68729
132,rle_scalar,3000000,1.66586
133,rle_scalar,3000000,1.67668
134,rle_scalar,3000000,1.6947
135,rle_scalar,3000000,1.7379
136,rle_scalar,3000000,1.73816
137,rle_scalar,3000000,1.68673
138,rle_scalar,3000000,1.76371
139,rle_scalar,3000000,1.69805
140,rle_scalar,3000000,1.76519
141,rle_scalar,3000000,1.75684
142,rle_scalar,3000000,1.76272
143,rle_scalar,3000000,1.72917
144,rle_scalar,3000000,1.76227
145,rle_scalar,3000000,1.7809
146,rle_scalar,3000000,1.78838
147,rle_scalar,3000000,1.76481
148,rle_scalar,3000000,1.78388
149,rle_scalar,3000000,1.80927
150,rle_scalar,3000000,1.80651
151,rle_scalar,3000000,1.80571
152,rle_scalar,3000000,1.86258
153,rle_scalar,3000000,1.8721
154,rle_scalar,3000000,1.8522
155,rle_scalar,3000000,1.84226
156,rle_scalar,3000000,1.87062
157,rle_scalar,3000000,1.85583
158,rle_scalar,3000000,1.89216
159,rle_scalar,3000000,1.88733
160,rle_scalar,3000000,1.85405
161,rle_scalar,3000000,1.89204
162,rle_scalar,3000000,1.89977
163,rle_scalar,3000000,1.85952
164,rle_scalar,3000000,1.89558
165,rle_scalar,3000000,1.89647
166,rle_scalar,3000000,1.89568
167,rle_scalar,3000000,1.89626
168,rle_scalar,3000000,1.9612
169,rle_scalar,3000000,1.91768
170,rle_scalar,3000000,1.92241
171,rle_scalar,3000000,1.908
172,rle_scalar,3000000,1.96681
173,rle_scalar,3000000,1.91103
174,rle_scalar,3000000,1.95102
175,rle_scalar,3000000,1.94283
176,rle_scalar,3000000,1.9532
177,rle_scalar,3000000,1.94249
178,rle_scalar,3000000,1.99576
179,rle_scalar,3000000,1.99146
180,rle_scalar,3000000,1.96085
181,rle_scalar,3000000,1.97518
