benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0_8,30000000,1.10417e-07
1,bitunpack_1_8,30000000,0.668711
2,bitunpack_2_8,30000000,0.680245
3,bitunpack_3_8,30000000,0.794174
4,bitunpack_4_8,30000000,0.664561
5,bitunpack_5_8,30000000,0.914905
6,bitunpack_6_8,30000000,0.915067
7,bitunpack_7_8,30000000,1.04799
8,bitunpack_8_8,30000000,0.522904
9,bitunpack_0_16,30000000,0.156259
10,bitunpack_1_16,30000000,0.563656
11,bitunpack_2_16,30000000,0.563647
12,bitunpack_3_16,30000000,0.71685
13,bitunpack_3_16,30000000,0.563673
14,bitunpack_4_16,30000000,1.35452
15,bitunpack_5_16,30000000,1.45763
16,bitunpack_6_16,30000000,1.91325
17,bitunpack_7_16,30000000,0.565241
18,bitunpack_8_16,30000000,1.9277
19,bitunpack_9_16,30000000,0.781096
20,bitunpack_10_16,30000000,1.4135
21,bitunpack_11_16,30000000,2.12562
22,bitunpack_12_16,30000000,1.50925
23,bitunpack_13_16,30000000,0.911278
24,bitunpack_14_16,30000000,1.57181
25,bitunpack_15_16,30000000,0.584678
26,bitunpack_0_32,30000000,1.28125e-07
27,bitunpack_1_32,30000000,0.631359
28,bitunpack_2_32,30000000,0.52068
29,bitunpack_3_32,30000000,0.768643
30,bitunpack_4_32,30000000,0.520915
31,bitunpack_5_32,30000000,0.862112
32,bitunpack_6_32,30000000,0.586141
33,bitunpack_7_32,30000000,0.891983
34,bitunpack_8_32,30000000,0.521219
0,bitunpack_9_32,30000000,0.998351
0,bitunpack_10_32,30000000,1.00085
0,bitunpack_11_32,30000000,0.992807
0,bitunpack_12_32,30000000,0.938137
0,bitunpack_13_32,30000000,1.04126
0,bitunpack_14_32,30000000,1.05701
0,bitunpack_15_32,30000000,1.07573
0,bitunpack_16_32,30000000,0.522334
0,bitunpack_17_32,30000000,1.11036
0,bitunpack_18_32,30000000,1.1203
0,bitunpack_19_32,30000000,1.14739
0,bitunpack_20_32,30000000,1.10712
0,bitunpack_21_32,30000000,1.17929
0,bitunpack_22_32,30000000,1.1579
0,bitunpack_23_32,30000000,1.19826
0,bitunpack_24_32,30000000,1.10127
0,bitunpack_25_32,30000000,1.24839
0,bitunpack_26_32,30000000,1.25073
0,bitunpack_27_32,30000000,1.31736
0,bitunpack_28_32,30000000,1.25633
0,bitunpack_29_32,30000000,1.38776
0,bitunpack_30_32,30000000,1.48386
0,bitunpack_31_32,30000000,1.46964
0,bitunpack_32_32,30000000,0.520513
0,bitunpack_0,30000000,8.75e-08
0,bitunpack_1,30000000,0.338438
0,bitunpack_2,30000000,0.34369
0,bitunpack_3,30000000,0.302708
0,bitunpack_4,30000000,0.302867
0,bitunpack_5,30000000,0.302036
0,bitunpack_6,30000000,0.481204
0,bitunpack_7,30000000,0.452895
0,bitunpack_32,30000000,0.313055
0,bitunpack_0,30000000,0.407061
0,bitunpack_1,30000000,0.474666
0,bitunpack_2,30000000,0.47576
0,bitunpack_3,30000000,0.32863
0,bitunpack_4,30000000,0.429683
0,bitunpack_5,30000000,0.472021
0,bitunpack_6,30000000,0.41042
0,bitunpack_7,30000000,3.58333e-07
0,bitunpack_0,30000000,0.439769
0,bitunpack_1,30000000,0.49846
0,bitunpack_2,30000000,0.470888
0,bitunpack_3,30000000,0.438909
0,bitunpack_4,30000000,0.555875
0,bitunpack_5,30000000,0.553617
0,bitunpack_6,30000000,0.630222
0,bitunpack_7,30000000,0.488824
0,bitunpack_32,30000000,0.664437
0,bitunpack_0,30000000,0.675368
0,bitunpack_1,30000000,0.707136
0,bitunpack_2,30000000,0.682356
0,bitunpack_3,30000000,0.744919
0,bitunpack_4,30000000,0.741514
0,bitunpack_5,30000000,0.770594
0,bitunpack_6,30000000,3.98958e-07
0,bitunpack_0,30000000,1.03298
0,bitunpack_1,30000000,1.02935
0,bitunpack_2,30000000,1.09353
0,bitunpack_3,30000000,1.02962
0,bitunpack_4,30000000,1.16009
0,bitunpack_5,30000000,1.14894
0,bitunpack_6,30000000,1.22593
0,bitunpack_7,30000000,1.0298
0,bitunpack_32,30000000,1.28134
0,bitunpack_0,30000000,1.28111
0,bitunpack_1,30000000,1.34671
0,bitunpack_2,30000000,1.27691
0,bitunpack_3,30000000,1.40946
0,bitunpack_4,30000000,1.40527
0,bitunpack_5,30000000,1.4666
0,bitunpack_6,30000000,1.0261
0,bitunpack_7,30000000,1.52635
0,bitunpack_0,30000000,1.51422
0,bitunpack_1,30000000,1.57935
0,bitunpack_2,30000000,1.52898
0,bitunpack_3,30000000,1.65844
0,bitunpack_4,30000000,1.64315
0,bitunpack_5,30000000,1.72289
0,bitunpack_6,30000000,1.52871
0,bitunpack_7,30000000,1.78147
0,bitunpack_32,30000000,1.78112
0,bitunpack_0,30000000,1.84309
0,bitunpack_1,30000000,1.77347
0,bitunpack_2,30000000,1.91275
0,bitunpack_3,30000000,1.90196
0,bitunpack_4,30000000,1.96585
0,bitunpack_5,30000000,0.520461
