benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0172938
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0195095
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0167262
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.0249575
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0169882
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.030753
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.0281588
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.037314
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0166964
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.0324027
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.034383
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.0334744
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.0364331
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.0324457
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.041129
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.0391266
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.0447401
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.0351304
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.0494511
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.0473571
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.0531453
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.042398
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.0571847
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.0557742
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.0622616
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.0366231
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.0638165
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.0661584
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.0723845
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.0721259
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.0704587
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.0766849
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.0758627
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.0840405
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.0648597
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.0861982
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.0839601
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.0892239
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.0818343
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.0950243
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.0922352
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.0964534
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.0686267
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.101098
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.0990428
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.104842
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.0935182
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.109296
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.107264
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.113281
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.0657136
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.117168
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.11661
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.12185
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.110887
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.126024
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.124343
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.129726
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.0747376
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.126637
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.142002
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.141476
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.146367
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.144664
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.151175
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.151428
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.156895
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.128429
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.16092
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.158831
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.166829
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.155201
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.170227
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.170003
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.172383
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.132428
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.177974
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.176885
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.184482
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.172753
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.187573
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.184469
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.191038
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.135594
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.196467
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.193004
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,0.199377
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.188204
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,0.202236
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.200787
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,0.206969
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.130033
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,0.210837
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,0.208061
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,0.214359
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,0.202157
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,0.215702
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,0.218588
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,0.220601
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.15617
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,0.225781
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,0.227182
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,0.227345
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,0.217398
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,0.231372
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,0.234349
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,0.235876
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.18272
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,0.23957
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,0.243211
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,0.24409
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,0.233314
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,0.247863
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,0.256419
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,0.252583
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,0.165351
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,0.255478
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,0.263818
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,0.258923
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,0.25083
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,0.261793
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,0.303267
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,0.265846
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.165114
