name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,task-clock,
     fls 0vectorwise,    14.021,     1.000,     2.221,     3.258,     0.032,     0.170,     0.000,     0.000,     0.000,     0.378,     0.000,     0.000,     0.000,     0.084,     0.170,     0.004,     0.052,
     fls 1vectorwise,    15.923,     1.000,     2.615,     3.249,  2018.187,     0.193,     0.002,     0.000,     0.002,     0.504,     0.000,     0.002,     0.000,     0.084,     0.173,     0.009,     0.059,
     fls 2vectorwise,    16.317,     1.000,     2.553,     3.248,  3935.455,     0.197,     0.004,     0.000,     0.004,     0.504,     0.000,     0.004,     0.000,     0.084,     0.175,     0.013,     0.061,
     fls 3vectorwise,    17.482,     1.000,     2.458,     3.246,  5507.467,     0.211,     0.005,     0.000,     0.006,     0.520,     0.000,     0.006,     0.000,     0.084,     0.181,     0.021,     0.065,
     fls 4vectorwise,    18.536,     1.000,     2.250,     3.244,  6926.245,     0.224,     0.007,     0.000,     0.008,     0.504,     0.000,     0.008,     0.000,     0.084,     0.179,     0.033,     0.069,
     fls 5vectorwise,    20.588,     1.000,     2.152,     3.244,  7794.605,     0.249,     0.009,     0.001,     0.010,     0.535,     0.000,     0.010,     0.000,     0.084,     0.188,     0.045,     0.077,
     fls 6vectorwise,    22.625,     1.000,     1.943,     3.244,  8510.337,     0.273,     0.011,     0.001,     0.012,     0.531,     0.000,     0.012,     0.000,     0.084,     0.187,     0.060,     0.084,
     fls 7vectorwise,    25.741,     1.000,     1.771,     3.244,  8727.213,     0.311,     0.013,     0.002,     0.014,     0.551,     0.000,     0.014,     0.000,     0.084,     0.196,     0.086,     0.096,
     fls 8vectorwise,    25.816,     1.000,     1.469,     3.243,  9942.907,     0.312,     0.015,     0.003,     0.016,     0.458,     0.000,     0.016,     0.000,     0.084,     0.189,     0.099,     0.096,
     fls 9vectorwise,    32.429,     1.000,     1.438,     3.244,  8906.501,     0.392,     0.017,     0.003,     0.018,     0.564,     0.000,     0.018,     0.000,     0.084,     0.203,     0.145,     0.121,
    fls 10vectorwise,    34.203,     1.000,     1.340,     3.244,  9381.869,     0.413,     0.019,     0.004,     0.020,     0.554,     0.000,     0.020,     0.000,     0.084,     0.197,     0.162,     0.127,
    fls 11vectorwise,    38.917,     1.000,     1.232,     3.244,  9070.310,     0.470,     0.021,     0.004,     0.022,     0.579,     0.000,     0.022,     0.000,     0.084,     0.211,     0.203,     0.145,
    fls 12vectorwise,    39.661,     1.000,     1.139,     3.243,  9707.499,     0.479,     0.023,     0.006,     0.024,     0.546,     0.000,     0.023,     0.000,     0.084,     0.197,     0.214,     0.148,
    fls 13vectorwise,    45.583,     1.000,     1.080,     3.244,  9153.854,     0.551,     0.025,     0.006,     0.025,     0.595,     0.000,     0.025,     0.000,     0.084,     0.219,     0.262,     0.170,
    fls 14vectorwise,    47.684,     1.000,     1.006,     3.244,  9422.884,     0.576,     0.027,     0.007,     0.027,     0.580,     0.000,     0.027,     0.000,     0.084,     0.209,     0.285,     0.178,
    fls 15vectorwise,    44.479,     1.000,     1.160,     3.242, 10817.603,     0.537,     0.029,     0.009,     0.029,     0.623,     0.000,     0.029,     0.000,     0.084,     0.227,     0.227,     0.166,
    fls 16vectorwise,    48.175,     1.000,     0.811,     3.242, 10656.773,     0.582,     0.031,     0.014,     0.031,     0.472,     0.000,     0.031,     0.000,     0.084,     0.202,     0.310,     0.179,
    fls 17vectorwise,    49.461,     1.000,     1.066,     3.242, 11026.895,     0.597,     0.033,     0.011,     0.033,     0.637,     0.000,     0.033,     0.000,     0.086,     0.237,     0.272,     0.184,
    fls 18vectorwise,    51.238,     1.000,     0.996,     3.242, 11269.336,     0.619,     0.035,     0.012,     0.035,     0.616,     0.000,     0.035,     0.000,     0.084,     0.220,     0.299,     0.191,
    fls 19vectorwise,    54.770,     1.000,     0.994,     3.242, 11128.661,     0.661,     0.037,     0.013,     0.037,     0.657,     0.000,     0.037,     0.000,     0.090,     0.253,     0.319,     0.204,
    fls 20vectorwise,    55.823,     1.000,     0.891,     3.242, 11493.329,     0.674,     0.038,     0.015,     0.039,     0.601,     0.000,     0.039,     0.000,     0.084,     0.216,     0.344,     0.208,
    fls 21vectorwise,    60.156,     1.000,     0.932,     3.242, 11196.337,     0.726,     0.040,     0.015,     0.041,     0.677,     0.000,     0.041,     0.000,     0.094,     0.269,     0.369,     0.224,
    fls 22vectorwise,    61.275,     1.000,     0.870,     3.242, 11519.133,     0.740,     0.042,     0.017,     0.043,     0.644,     0.000,     0.043,     0.000,     0.084,     0.232,     0.395,     0.228,
    fls 23vectorwise,    65.493,     1.000,     0.880,     3.242, 11264.082,     0.791,     0.044,     0.017,     0.045,     0.696,     0.000,     0.045,     0.000,     0.098,     0.284,     0.416,     0.244,
    fls 24vectorwise,    67.385,     1.000,     0.695,     3.242, 11424.313,     0.814,     0.046,     0.020,     0.047,     0.566,     0.000,     0.047,     0.000,     0.084,     0.220,     0.485,     0.251,
    fls 25vectorwise,    71.751,     1.000,     0.822,     3.242, 11179.595,     0.867,     0.048,     0.019,     0.049,     0.712,     0.000,     0.049,     0.000,     0.101,     0.297,     0.473,     0.267,
    fls 26vectorwise,    73.161,     1.000,     0.753,     3.242, 11399.906,     0.884,     0.050,     0.021,     0.051,     0.665,     0.000,     0.051,     0.000,     0.084,     0.242,     0.509,     0.273,
    fls 27vectorwise,    79.495,     1.000,     0.762,     3.242, 10896.559,     0.960,     0.052,     0.021,     0.053,     0.732,     0.000,     0.053,     0.000,     0.105,     0.313,     0.541,     0.296,
    fls 28vectorwise,    79.054,     1.000,     0.673,     3.242, 11362.410,     0.955,     0.054,     0.024,     0.055,     0.643,     0.000,     0.055,     0.000,     0.084,     0.234,     0.574,     0.295,
    fls 29vectorwise,    87.809,     1.000,     0.708,     3.243, 10598.410,     1.061,     0.056,     0.023,     0.057,     0.751,     0.000,     0.057,     0.000,     0.108,     0.328,     0.617,     0.327,
    fls 30vectorwise,    89.613,     1.000,     0.640,     3.243, 10741.775,     1.083,     0.058,     0.025,     0.059,     0.693,     0.000,     0.059,     0.000,     0.084,     0.254,     0.668,     0.334,
    fls 31vectorwise,    97.990,     1.000,     0.651,     3.243, 10151.483,     1.184,     0.060,     0.026,     0.061,     0.771,     0.000,     0.061,     0.000,     0.112,     0.344,     0.711,     0.365,
    fls 32vectorwise,    95.657,     1.000,     0.380,     3.242, 10732.623,     1.155,     0.062,     0.037,     0.063,     0.440,     0.000,     0.063,     0.000,     0.084,     0.232,     0.859,     0.356,
