benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.157258
0,4way_bitunpack_1,3000000,0.282822
0,4way_bitunpack_2,3000000,0.282718
0,4way_bitunpack_3,3000000,0.282691
0,4way_bitunpack_4,3000000,0.282678
0,4way_bitunpack_5,3000000,0.282695
0,4way_bitunpack_6,3000000,0.282691
0,4way_bitunpack_7,3000000,0.282716
0,4way_bitunpack_8,3000000,0.282691
0,4way_bitunpack_9,3000000,0.282687
0,4way_bitunpack_10,3000000,0.282698
0,4way_bitunpack_11,3000000,0.290548
0,4way_bitunpack_12,3000000,0.282693
0,4way_bitunpack_13,3000000,0.306248
0,4way_bitunpack_14,3000000,0.298893
0,4way_bitunpack_15,3000000,0.314099
0,4way_bitunpack_16,3000000,0.282694
0,4way_bitunpack_17,3000000,0.339924
0,4way_bitunpack_18,3000000,0.330301
0,4way_bitunpack_19,3000000,0.360363
0,4way_bitunpack_20,3000000,0.333723
0,4way_bitunpack_21,3000000,0.360016
0,4way_bitunpack_22,3000000,0.346763
0,4way_bitunpack_23,3000000,0.377183
0,4way_bitunpack_24,3000000,0.282866
0,4way_bitunpack_25,3000000,0.384275
0,4way_bitunpack_26,3000000,0.374371
0,4way_bitunpack_27,3000000,0.396564
0,4way_bitunpack_28,3000000,0.37961
0,4way_bitunpack_29,3000000,0.406729
0,4way_bitunpack_30,3000000,0.396119
0,4way_bitunpack_31,3000000,0.414923
0,4way_bitunpack_32,3000000,0.282692
