benchmark_number,name,iterations,cycles_per_tuple
0,scalar_delta_08,3000000,1.18957
1,scalar_delta_16,3000000,1.22797
2,scalar_delta_32,3000000,1.13989
3,scalar_delta_64,3000000,1.13984
4,d1_128_8,3000000,0.436019
5,d1_128_16,3000000,0.927931
6,d1_128_32,3000000,0.756111
7,d1_128_64,3000000,2.93876
8,d1_512_32,3000000,0.465756
9,d1_512_64,3000000,0.977935
10,four_cursor_delta_08,3000000,1.07512
11,four_cursor_delta_16,3000000,1.07515
12,four_cursor_delta_32,3000000,1.07518
13,four_cursor_delta_64,3000000,1.07517
14,d1_256_32,3000000,0.613858
15,my_d1_256_32,3000000,0.61383
