benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0_8,3000000,1.13568
1,bitunpack_1_8,3000000,1.13568
2,bitunpack_2_8,3000000,1.13317
3,bitunpack_3_8,3000000,1.43456
4,bitunpack_4_8,3000000,1.13161
5,bitunpack_5_8,3000000,1.7566
6,bitunpack_6_8,3000000,1.63475
7,bitunpack_7_8,3000000,1.80331
8,bitunpack_8_8,3000000,1.1307
9,bitunpack_0_16,3000000,1.06894
10,bitunpack_1_16,3000000,1.06894
11,bitunpack_2_16,3000000,1.06911
12,bitunpack_3_16,3000000,1.13116
13,bitunpack_3_16,3000000,1.06803
14,bitunpack_4_16,3000000,1.22513
15,bitunpack_6,3000000,1.19356
16,bitunpack_7,3000000,1.31933
17,bitunpack_16,3000000,1.06789
18,bitunpack_0,3000000,1.38203
19,bitunpack_1,3000000,1.35058
20,bitunpack_2,3000000,1.4762
21,bitunpack_3,3000000,1.35056
22,bitunpack_4,3000000,1.60186
23,bitunpack_5,3000000,1.57041
24,bitunpack_6,3000000,1.69604
25,bitunpack_7,3000000,1.06786
26,bitunpack_0,3000000,1.05225
27,bitunpack_1,3000000,1.05225
28,bitunpack_2,3000000,1.04186
29,bitunpack_3,3000000,1.08359
30,bitunpack_4,3000000,1.03822
31,bitunpack_5,3000000,1.13077
32,bitunpack_6,3000000,1.11509
33,bitunpack_7,3000000,1.16212
34,bitunpack_32,3000000,1.03659
0,bitunpack_0,3000000,1.20929
0,bitunpack_1,3000000,1.19355
0,bitunpack_2,3000000,1.25637
0,bitunpack_3,3000000,1.19356
0,bitunpack_4,3000000,1.31912
0,bitunpack_5,3000000,1.30347
0,bitunpack_6,3000000,1.35068
0,bitunpack_7,3000000,1.03649
0,bitunpack_0,3000000,1.39773
0,bitunpack_1,3000000,1.65196
0,bitunpack_2,3000000,1.58835
0,bitunpack_3,3000000,1.63824
0,bitunpack_4,3000000,1.67251
0,bitunpack_5,3000000,1.73457
0,bitunpack_6,3000000,1.6784
0,bitunpack_7,3000000,1.3192
0,bitunpack_32,3000000,1.69972
0,bitunpack_0,3000000,1.69613
0,bitunpack_1,3000000,1.72751
0,bitunpack_2,3000000,1.67437
0,bitunpack_3,3000000,1.6961
0,bitunpack_4,3000000,1.75888
0,bitunpack_5,3000000,1.82173
0,bitunpack_6,3000000,1.03666
0,bitunpack_0,3000000,1.05222
0,bitunpack_1,3000000,1.05222
0,bitunpack_2,3000000,1.04187
0,bitunpack_3,3000000,1.08368
0,bitunpack_4,3000000,1.03816
0,bitunpack_5,3000000,1.13067
0,bitunpack_6,3000000,1.11506
0,bitunpack_7,3000000,1.16232
0,bitunpack_32,3000000,1.03651
0,bitunpack_0,3000000,1.20927
0,bitunpack_1,3000000,1.19355
0,bitunpack_2,3000000,1.25637
0,bitunpack_3,3000000,1.19349
0,bitunpack_4,3000000,1.31917
0,bitunpack_5,3000000,1.3035
0,bitunpack_6,3000000,1.35053
0,bitunpack_7,3000000,1.03647
0,bitunpack_0,3000000,1.39768
0,bitunpack_1,3000000,1.70489
0,bitunpack_2,3000000,1.7341
0,bitunpack_3,3000000,1.62976
0,bitunpack_4,3000000,1.77373
0,bitunpack_5,3000000,1.71597
0,bitunpack_6,3000000,1.72003
0,bitunpack_7,3000000,1.31915
0,bitunpack_32,3000000,1.69995
0,bitunpack_0,3000000,1.74816
0,bitunpack_1,3000000,1.76129
0,bitunpack_2,3000000,1.7136
0,bitunpack_3,3000000,1.82801
0,bitunpack_4,3000000,1.79032
0,bitunpack_5,3000000,1.85303
0,bitunpack_6,3000000,1.03647
0,bitunpack_0,3000000,1.88587
0,bitunpack_1,3000000,1.89953
0,bitunpack_2,3000000,1.94735
0,bitunpack_3,3000000,1.69604
0,bitunpack_4,3000000,1.988
0,bitunpack_5,3000000,1.97879
0,bitunpack_6,3000000,2.05687
0,bitunpack_7,3000000,1.73512
0,bitunpack_32,3000000,2.11772
0,bitunpack_0,3000000,2.119
0,bitunpack_1,3000000,2.13752
0,bitunpack_2,3000000,2.05705
0,bitunpack_3,3000000,2.17887
0,bitunpack_4,3000000,2.13618
0,bitunpack_5,3000000,2.24242
0,bitunpack_6,3000000,1.71559
0,bitunpack_7,3000000,2.29294
0,bitunpack_0,3000000,2.26142
0,bitunpack_1,3000000,2.33014
0,bitunpack_2,3000000,2.22999
0,bitunpack_3,3000000,2.36529
0,bitunpack_4,3000000,2.35564
0,bitunpack_5,3000000,2.47832
0,bitunpack_6,3000000,2.10438
0,bitunpack_7,3000000,2.45064
0,bitunpack_32,3000000,2.48803
0,bitunpack_0,3000000,2.52064
0,bitunpack_1,3000000,2.60673
0,bitunpack_2,3000000,2.59373
0,bitunpack_3,3000000,2.54587
0,bitunpack_4,3000000,2.61967
0,bitunpack_5,3000000,1.03646
