benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_128crw_1uf,30000000,0.0638024
1,bench1_unpack_1bw_8ow_128crw_1uf,30000000,0.0657648
2,bench2_unpack_2bw_8ow_128crw_1uf,30000000,0.0638062
3,bench3_unpack_3bw_8ow_128crw_1uf,30000000,0.0824536
4,bench4_unpack_4bw_8ow_128crw_1uf,30000000,0.0638124
5,bench5_unpack_5bw_8ow_128crw_1uf,30000000,0.100179
6,bench6_unpack_6bw_8ow_128crw_1uf,30000000,0.099138
7,bench7_unpack_7bw_8ow_128crw_1uf,30000000,0.117781
8,bench8_unpack_8bw_8ow_128crw_1uf,30000000,0.0638135
9,bench9_unpack_0bw_16ow_128crw_1uf,30000000,0.126673
10,bench10_unpack_1bw_16ow_128crw_1uf,30000000,0.130599
11,bench11_unpack_2bw_16ow_128crw_1uf,30000000,0.141326
12,bench12_unpack_3bw_16ow_128crw_1uf,30000000,0.153052
13,bench13_unpack_4bw_16ow_128crw_1uf,30000000,0.141651
14,bench14_unpack_5bw_16ow_128crw_1uf,30000000,0.175561
15,bench15_unpack_6bw_16ow_128crw_1uf,30000000,0.182963
16,bench16_unpack_7bw_16ow_128crw_1uf,30000000,0.199949
17,bench17_unpack_8bw_16ow_128crw_1uf,30000000,0.127968
18,bench18_unpack_9bw_16ow_128crw_1uf,30000000,0.201867
19,bench19_unpack_10bw_16ow_128crw_1uf,30000000,0.189471
20,bench20_unpack_11bw_16ow_128crw_1uf,30000000,0.21009
21,bench21_unpack_12bw_16ow_128crw_1uf,30000000,0.180629
22,bench22_unpack_13bw_16ow_128crw_1uf,30000000,0.225793
23,bench23_unpack_14bw_16ow_128crw_1uf,30000000,0.22191
24,bench24_unpack_15bw_16ow_128crw_1uf,30000000,0.242508
25,bench25_unpack_16bw_16ow_128crw_1uf,30000000,0.126647
26,bench26_unpack_0bw_32ow_128crw_1uf,30000000,0.252318
27,bench27_unpack_1bw_32ow_128crw_1uf,30000000,0.257181
28,bench28_unpack_2bw_32ow_128crw_1uf,30000000,0.260006
29,bench29_unpack_3bw_32ow_128crw_1uf,30000000,0.300349
30,bench30_unpack_4bw_32ow_128crw_1uf,30000000,0.280595
31,bench31_unpack_5bw_32ow_128crw_1uf,30000000,0.342382
32,bench32_unpack_6bw_32ow_128crw_1uf,30000000,0.317571
33,bench33_unpack_7bw_32ow_128crw_1uf,30000000,0.338268
34,bench34_unpack_8bw_32ow_128crw_1uf,30000000,0.268917
35,bench35_unpack_9bw_32ow_128crw_1uf,30000000,0.371245
36,bench36_unpack_10bw_32ow_128crw_1uf,30000000,0.347781
37,bench37_unpack_11bw_32ow_128crw_1uf,30000000,0.39147
38,bench38_unpack_12bw_32ow_128crw_1uf,30000000,0.350951
39,bench39_unpack_13bw_32ow_128crw_1uf,30000000,0.398417
40,bench40_unpack_14bw_32ow_128crw_1uf,30000000,0.390726
41,bench41_unpack_15bw_32ow_128crw_1uf,30000000,0.417132
42,bench42_unpack_16bw_32ow_128crw_1uf,30000000,0.256439
43,bench43_unpack_17bw_32ow_128crw_1uf,30000000,0.425973
44,bench44_unpack_18bw_32ow_128crw_1uf,30000000,0.42405
45,bench45_unpack_19bw_32ow_128crw_1uf,30000000,0.439775
46,bench46_unpack_20bw_32ow_128crw_1uf,30000000,0.403704
47,bench47_unpack_21bw_32ow_128crw_1uf,30000000,0.466434
48,bench48_unpack_22bw_32ow_128crw_1uf,30000000,0.480381
49,bench49_unpack_23bw_32ow_128crw_1uf,30000000,0.480114
50,bench50_unpack_24bw_32ow_128crw_1uf,30000000,0.361922
51,bench51_unpack_25bw_32ow_128crw_1uf,30000000,0.486762
52,bench52_unpack_26bw_32ow_128crw_1uf,30000000,0.484927
53,bench53_unpack_27bw_32ow_128crw_1uf,30000000,0.457414
54,bench54_unpack_28bw_32ow_128crw_1uf,30000000,0.418151
55,bench55_unpack_29bw_32ow_128crw_1uf,30000000,0.474118
56,bench56_unpack_30bw_32ow_128crw_1uf,30000000,0.495718
57,bench57_unpack_31bw_32ow_128crw_1uf,30000000,0.489819
58,bench58_unpack_32bw_32ow_128crw_1uf,30000000,0.256768
59,bench59_unpack_0bw_64ow_128crw_1uf,30000000,0.503493
60,bench60_unpack_1bw_64ow_128crw_1uf,30000000,0.505925
61,bench61_unpack_2bw_64ow_128crw_1uf,30000000,0.503538
62,bench62_unpack_3bw_64ow_128crw_1uf,30000000,0.517273
63,bench63_unpack_4bw_64ow_128crw_1uf,30000000,0.503534
64,bench64_unpack_5bw_64ow_128crw_1uf,30000000,0.530048
65,bench65_unpack_6bw_64ow_128crw_1uf,30000000,0.525137
66,bench66_unpack_7bw_64ow_128crw_1uf,30000000,0.541832
67,bench67_unpack_8bw_64ow_128crw_1uf,30000000,0.503535
68,bench68_unpack_9bw_64ow_128crw_1uf,30000000,0.554577
69,bench69_unpack_10bw_64ow_128crw_1uf,30000000,0.549688
70,bench70_unpack_11bw_64ow_128crw_1uf,30000000,0.566375
71,bench71_unpack_12bw_64ow_128crw_1uf,30000000,0.540849
72,bench72_unpack_13bw_64ow_128crw_1uf,30000000,0.579153
73,bench73_unpack_14bw_64ow_128crw_1uf,30000000,0.573688
74,bench74_unpack_15bw_64ow_128crw_1uf,30000000,0.589933
75,bench75_unpack_16bw_64ow_128crw_1uf,30000000,0.503529
76,bench76_unpack_17bw_64ow_128crw_1uf,30000000,0.601723
77,bench77_unpack_18bw_64ow_128crw_1uf,30000000,0.597803
78,bench78_unpack_19bw_64ow_128crw_1uf,30000000,0.61449
79,bench79_unpack_20bw_64ow_128crw_1uf,30000000,0.589534
80,bench80_unpack_21bw_64ow_128crw_1uf,30000000,0.626264
81,bench81_unpack_22bw_64ow_128crw_1uf,30000000,0.622349
82,bench82_unpack_23bw_64ow_128crw_1uf,30000000,0.638062
83,bench83_unpack_24bw_64ow_128crw_1uf,30000000,0.573252
84,bench84_unpack_25bw_64ow_128crw_1uf,30000000,0.649844
85,bench85_unpack_26bw_64ow_128crw_1uf,30000000,0.6459
86,bench86_unpack_27bw_64ow_128crw_1uf,30000000,0.661618
87,bench87_unpack_28bw_64ow_128crw_1uf,30000000,0.637055
88,bench88_unpack_29bw_64ow_128crw_1uf,30000000,0.673438
89,bench89_unpack_30bw_64ow_128crw_1uf,30000000,0.678308
90,bench90_unpack_31bw_64ow_128crw_1uf,30000000,0.685211
91,bench91_unpack_32bw_64ow_128crw_1uf,30000000,0.503518
92,bench92_unpack_33bw_64ow_128crw_1uf,30000000,0.697976
93,bench93_unpack_34bw_64ow_128crw_1uf,30000000,0.707767
94,bench94_unpack_35bw_64ow_128crw_1uf,30000000,0.709764
95,bench95_unpack_36bw_64ow_128crw_1uf,30000000,0.686175
96,bench96_unpack_37bw_64ow_128crw_1uf,30000000,0.721537
97,bench97_unpack_38bw_64ow_128crw_1uf,30000000,0.735266
98,bench98_unpack_39bw_64ow_128crw_1uf,30000000,0.734303
99,bench99_unpack_40bw_64ow_128crw_1uf,30000000,0.669488
100,bench100_unpack_41bw_64ow_128crw_1uf,30000000,0.746099
101,bench101_unpack_42bw_64ow_128crw_1uf,30000000,0.762804
102,bench102_unpack_43bw_64ow_128crw_1uf,30000000,0.757889
103,bench103_unpack_44bw_64ow_128crw_1uf,30000000,0.733312
104,bench104_unpack_45bw_64ow_128crw_1uf,30000000,0.768712
105,bench105_unpack_46bw_64ow_128crw_1uf,30000000,0.788362
106,bench106_unpack_47bw_64ow_128crw_1uf,30000000,0.780521
107,bench107_unpack_48bw_64ow_128crw_1uf,30000000,0.6371
108,bench108_unpack_49bw_64ow_128crw_1uf,30000000,0.79231
109,bench109_unpack_50bw_64ow_128crw_1uf,30000000,0.813899
110,bench110_unpack_51bw_64ow_128crw_1uf,30000000,0.804065
111,bench111_unpack_52bw_64ow_128crw_1uf,30000000,0.781454
112,bench112_unpack_53bw_64ow_128crw_1uf,30000000,0.815871
113,bench113_unpack_54bw_64ow_128crw_1uf,30000000,0.841382
114,bench114_unpack_55bw_64ow_128crw_1uf,30000000,0.828638
115,bench115_unpack_56bw_64ow_128crw_1uf,30000000,0.763775
116,bench116_unpack_57bw_64ow_128crw_1uf,30000000,0.840455
117,bench117_unpack_58bw_64ow_128crw_1uf,30000000,0.876788
118,bench118_unpack_59bw_64ow_128crw_1uf,30000000,0.850226
119,bench119_unpack_60bw_64ow_128crw_1uf,30000000,0.864951
120,bench120_unpack_61bw_64ow_128crw_1uf,30000000,0.862042
121,bench121_unpack_62bw_64ow_128crw_1uf,30000000,0.898393
122,bench122_unpack_63bw_64ow_128crw_1uf,30000000,0.873875
123,bench123_unpack_64bw_64ow_128crw_1uf,30000000,0.503578
