benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0625009
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0893274
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0810082
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.10779
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0666869
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.124025
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.116584
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.141603
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0626234
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.125002
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.187014
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.178469
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.211667
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.161623
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.222708
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.208996
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.240587
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.144289
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.255619
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.258793
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.285162
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.227787
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.295659
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.292729
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.308359
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.145684
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.25398
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.397954
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.38364
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.405328
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.358553
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.419397
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.410408
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.441658
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.322027
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.454841
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.443233
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.470499
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.423428
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.490731
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.47926
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.507582
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.321005
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.535151
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.514776
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.544009
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.489794
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.560062
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.543932
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.582041
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.455142
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.599397
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.586923
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.625329
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.57789
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.648481
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.611828
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.668789
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.39675
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.500006
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.808361
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.786082
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.80177
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.744677
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.81007
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.804943
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.820568
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.709211
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.848648
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.834241
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.858415
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.820074
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.880385
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.876914
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.892439
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.632623
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,0.916273
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,0.901627
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,0.944838
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.881119
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,0.958757
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,0.938735
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,0.966376
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.840247
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,0.990014
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,0.964858
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.01473
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,0.940695
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.02234
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,0.999042
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.04184
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.69046
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.08571
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.04461
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.10426
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.01418
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.13308
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.07985
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.15993
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,0.967823
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.18337
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.105
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.20227
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.07927
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.24718
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.15041
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.25173
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,0.894643
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.2982
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.19002
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.32046
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.15163
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.3542
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.22071
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.37185
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.09969
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.39412
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.2591
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.42055
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.20949
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.44505
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.29784
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.4739
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.878905
