benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,1.87851
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,1.89713
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,1.92892
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,1.9896
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,2.03442
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,2.0936
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,2.14982
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,2.24859
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,2.3346
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,2.00525
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,2.02904
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,2.04917
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,2.06906
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,2.10042
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,2.13095
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,2.16289
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,2.19438
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,2.2241
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,2.26052
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,2.29276
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,2.32865
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,2.36886
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,2.43143
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,2.51318
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,2.56073
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,2.61054
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,1.25001
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,1.25531
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,1.26126
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,1.26651
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,1.27653
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,1.28226
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,1.2902
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,1.30011
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,1.31035
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,1.32068
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,1.33356
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,1.34233
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,1.35787
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,1.37889
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,1.38783
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,1.40762
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,1.42772
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,1.44321
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,1.46154
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,1.48012
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,1.49917
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,1.51999
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,1.53843
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,1.56231
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,1.5942
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,1.60224
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,1.62531
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,1.65087
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,1.67798
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,1.71143
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,1.7263
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,1.74239
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,1.7716
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,1.25001
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,1.25001
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,1.25001
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,1.25001
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,1.25254
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,1.26109
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,1.26177
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,1.26572
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,1.26731
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,1.27193
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,1.27525
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,1.27827
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,1.28413
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,1.28236
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,1.29093
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,1.28898
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,1.29476
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,1.2975
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,1.30878
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,1.31035
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,1.31359
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,1.31794
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,1.32687
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,1.337
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,1.33638
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,1.35529
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,1.35397
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.35894
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,1.38148
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.3792
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,1.39396
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.39483
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,1.4133
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.42214
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.43265
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.44715
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.45762
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.47335
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.48352
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.50341
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,1.50519
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.52377
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.54062
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.54635
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.5604
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.57361
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.57426
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.58866
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,1.59936
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.61547
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.6154
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.61949
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.63117
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.63169
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.63789
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.65196
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.67192
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.67994
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.68329
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.70392
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.71748
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.73095
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.73717
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.75434
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,1.76935
