benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_64crw_1uf,3000000,0.0909189
1,bench1_unpack_1bw_8ow_64crw_1uf,3000000,0.142581
2,bench2_unpack_2bw_8ow_64crw_1uf,3000000,0.157587
3,bench3_unpack_3bw_8ow_64crw_1uf,3000000,0.199608
4,bench4_unpack_4bw_8ow_64crw_1uf,3000000,0.148071
5,bench5_unpack_5bw_8ow_64crw_1uf,3000000,0.241226
6,bench6_unpack_6bw_8ow_64crw_1uf,3000000,0.223334
7,bench7_unpack_7bw_8ow_64crw_1uf,3000000,0.295579
8,bench8_unpack_8bw_8ow_64crw_1uf,3000000,0.152347
9,bench9_unpack_0bw_16ow_64crw_1uf,3000000,0.312498
10,bench10_unpack_1bw_16ow_64crw_1uf,3000000,0.312895
11,bench11_unpack_2bw_16ow_64crw_1uf,3000000,0.314911
12,bench12_unpack_3bw_16ow_64crw_1uf,3000000,0.350902
13,bench13_unpack_4bw_16ow_64crw_1uf,3000000,0.313056
14,bench14_unpack_5bw_16ow_64crw_1uf,3000000,0.386087
15,bench15_unpack_6bw_16ow_64crw_1uf,3000000,0.369777
16,bench16_unpack_7bw_16ow_64crw_1uf,3000000,0.420838
17,bench17_unpack_8bw_16ow_64crw_1uf,3000000,0.324114
18,bench18_unpack_9bw_16ow_64crw_1uf,3000000,0.451346
19,bench19_unpack_10bw_16ow_64crw_1uf,3000000,0.448782
20,bench20_unpack_11bw_16ow_64crw_1uf,3000000,0.487265
21,bench21_unpack_12bw_16ow_64crw_1uf,3000000,0.43624
22,bench22_unpack_13bw_16ow_64crw_1uf,3000000,0.520216
23,bench23_unpack_14bw_16ow_64crw_1uf,3000000,0.514003
24,bench24_unpack_15bw_16ow_64crw_1uf,3000000,0.552918
25,bench25_unpack_16bw_16ow_64crw_1uf,3000000,0.388442
26,bench26_unpack_0bw_32ow_64crw_1uf,3000000,0.625005
27,bench27_unpack_1bw_32ow_64crw_1uf,3000000,0.625004
28,bench28_unpack_2bw_32ow_64crw_1uf,3000000,0.625006
29,bench29_unpack_3bw_32ow_64crw_1uf,3000000,0.625006
30,bench30_unpack_4bw_32ow_64crw_1uf,3000000,0.625011
31,bench31_unpack_5bw_32ow_64crw_1uf,3000000,0.635126
32,bench32_unpack_6bw_32ow_64crw_1uf,3000000,0.635577
33,bench33_unpack_7bw_32ow_64crw_1uf,3000000,0.655129
34,bench34_unpack_8bw_32ow_64crw_1uf,3000000,0.625455
35,bench35_unpack_9bw_32ow_64crw_1uf,3000000,0.688285
36,bench36_unpack_10bw_32ow_64crw_1uf,3000000,0.695213
37,bench37_unpack_11bw_32ow_64crw_1uf,3000000,0.730432
38,bench38_unpack_12bw_32ow_64crw_1uf,3000000,0.685218
39,bench39_unpack_13bw_32ow_64crw_1uf,3000000,0.763769
40,bench40_unpack_14bw_32ow_64crw_1uf,3000000,0.757384
41,bench41_unpack_15bw_32ow_64crw_1uf,3000000,0.78022
42,bench42_unpack_16bw_32ow_64crw_1uf,3000000,0.654262
43,bench43_unpack_17bw_32ow_64crw_1uf,3000000,0.827299
44,bench44_unpack_18bw_32ow_64crw_1uf,3000000,0.82406
45,bench45_unpack_19bw_32ow_64crw_1uf,3000000,0.84366
46,bench46_unpack_20bw_32ow_64crw_1uf,3000000,0.812756
47,bench47_unpack_21bw_32ow_64crw_1uf,3000000,0.900174
48,bench48_unpack_22bw_32ow_64crw_1uf,3000000,0.890419
49,bench49_unpack_23bw_32ow_64crw_1uf,3000000,0.928695
50,bench50_unpack_24bw_32ow_64crw_1uf,3000000,0.790326
51,bench51_unpack_25bw_32ow_64crw_1uf,3000000,0.962459
52,bench52_unpack_26bw_32ow_64crw_1uf,3000000,0.951645
53,bench53_unpack_27bw_32ow_64crw_1uf,3000000,0.988031
54,bench54_unpack_28bw_32ow_64crw_1uf,3000000,0.942213
55,bench55_unpack_29bw_32ow_64crw_1uf,3000000,1.02332
56,bench56_unpack_30bw_32ow_64crw_1uf,3000000,1.01427
57,bench57_unpack_31bw_32ow_64crw_1uf,3000000,1.05281
58,bench58_unpack_32bw_32ow_64crw_1uf,3000000,0.787972
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,1.25001
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,1.24998
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,1.25001
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,1.25001
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,1.25257
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,1.26108
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,1.26176
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,1.26577
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,1.26691
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,1.27154
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,1.27492
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,1.27793
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,1.28377
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,1.28202
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,1.2906
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,1.28868
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,1.29479
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,1.29747
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,1.30876
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,1.31026
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,1.31348
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,1.31785
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,1.32678
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,1.33689
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,1.33638
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,1.35529
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,1.35399
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.35895
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,1.38148
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.37923
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,1.39395
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.39483
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,1.41325
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.42214
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.43263
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.44717
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.45762
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.47334
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.48368
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.50336
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,1.50523
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.52372
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.54059
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.54637
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.56042
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.57363
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.57449
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.58898
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,1.5996
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.61579
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.61571
