benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.0238877
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.0238153
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.0238284
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.0239123
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.0242144
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,0.0259295
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,0.0268364
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,0.0354754
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.0238664
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.0469454
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.0469013
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.0469063
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.0469136
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.046898
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,0.0469111
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,0.0469265
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,0.0469201
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.0469057
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,0.0469219
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,0.046922
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,0.0469317
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,0.0469258
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,0.0483725
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,0.0471789
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,0.0523473
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.0469513
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.0931116
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.0931025
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.0930957
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.0931209
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.0930996
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.0931173
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.0931754
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.0931133
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.0931566
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,0.0931358
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,0.0931081
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,0.0931463
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.0931624
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,0.0931511
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,0.0931126
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,0.0931239
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.0931009
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,0.0931974
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,0.0932073
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,0.0931566
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,0.093117
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,0.0933598
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,0.0932236
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,0.0967478
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,0.0931989
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,0.100281
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,0.0984388
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,0.104047
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,0.0946189
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,0.107628
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,0.105807
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,0.11145
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.0932005
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.185461
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.185517
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.185487
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.185467
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.185525
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.185583
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.185564
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.185516
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.18551
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.185509
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.185619
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.185512
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.185501
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.185485
