benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,0.811727
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,0.801849
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,0.805477
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,0.926609
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,0.81183
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,1.13003
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,1.11344
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,1.14884
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,0.811511
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,0.792176
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,0.80974
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,0.812982
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,0.932282
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,0.82148
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,1.05203
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,1.05292
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,1.30385
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,0.821376
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,1.3326
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,1.30076
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,1.39135
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,1.24409
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,1.58931
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,1.53927
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,1.69228
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,0.817527
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,0.791692
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,0.804162
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,0.80583
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,0.855215
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,0.817209
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,0.935115
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,0.872683
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,0.961991
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,0.820726
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,1.00621
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,1.005
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,1.05743
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,0.965546
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,1.10793
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,1.0822
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,1.16314
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,0.821518
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,1.23555
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,1.23557
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,1.31257
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,1.20987
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,1.3392
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,1.46545
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,1.49128
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,1.26125
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,1.54142
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,1.51791
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,1.61355
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,1.54093
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,1.71589
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,1.6907
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,1.77252
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,0.815549
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,0.791031
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,0.803646
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,0.805985
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,0.809912
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,0.814831
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,0.843436
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,0.837487
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,0.872457
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,0.815825
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,0.899072
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,0.896453
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,0.926772
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,0.843018
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,0.956216
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,0.941511
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,0.991493
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,0.819228
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,1.02142
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,1.00832
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,1.04369
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,0.990668
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,1.07202
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,1.0608
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,1.09821
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,0.959186
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,1.12319
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,1.11148
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.1481
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,1.10056
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.17656
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,1.1646
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.20254
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,0.822712
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.08564
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.14321
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.11742
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.11937
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.16859
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.17802
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.26031
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,1.10633
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.27278
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.27609
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.29434
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.26941
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.31212
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.34629
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.33381
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,1.04599
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.37495
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.32754
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.39011
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.31348
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.44591
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.35678
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.49867
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.19259
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.48799
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.27313
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.47774
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.19909
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.49069
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.28838
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.5433
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,0.81932
