benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_128crw_1uf,3000000,0.0625014
1,bench1_unpack_1bw_8ow_128crw_1uf,3000000,0.0891241
2,bench2_unpack_2bw_8ow_128crw_1uf,3000000,0.0808922
3,bench3_unpack_3bw_8ow_128crw_1uf,3000000,0.107799
4,bench4_unpack_4bw_8ow_128crw_1uf,3000000,0.0669888
5,bench5_unpack_5bw_8ow_128crw_1uf,3000000,0.124026
6,bench6_unpack_6bw_8ow_128crw_1uf,3000000,0.116453
7,bench7_unpack_7bw_8ow_128crw_1uf,3000000,0.145999
8,bench8_unpack_8bw_8ow_128crw_1uf,3000000,0.0626409
9,bench9_unpack_0bw_16ow_128crw_1uf,3000000,0.125002
10,bench10_unpack_1bw_16ow_128crw_1uf,3000000,0.189694
11,bench11_unpack_2bw_16ow_128crw_1uf,3000000,0.185371
12,bench12_unpack_3bw_16ow_128crw_1uf,3000000,0.211088
13,bench13_unpack_4bw_16ow_128crw_1uf,3000000,0.164275
14,bench14_unpack_5bw_16ow_128crw_1uf,3000000,0.228898
15,bench15_unpack_6bw_16ow_128crw_1uf,3000000,0.209167
16,bench16_unpack_7bw_16ow_128crw_1uf,3000000,0.240727
17,bench17_unpack_8bw_16ow_128crw_1uf,3000000,0.144289
18,bench18_unpack_9bw_16ow_128crw_1uf,3000000,0.255622
19,bench19_unpack_10bw_16ow_128crw_1uf,3000000,0.258794
20,bench20_unpack_11bw_16ow_128crw_1uf,3000000,0.285162
21,bench21_unpack_12bw_16ow_128crw_1uf,3000000,0.22797
22,bench22_unpack_13bw_16ow_128crw_1uf,3000000,0.295664
23,bench23_unpack_14bw_16ow_128crw_1uf,3000000,0.29273
24,bench24_unpack_15bw_16ow_128crw_1uf,3000000,0.308844
25,bench25_unpack_16bw_16ow_128crw_1uf,3000000,0.144389
26,bench26_unpack_0bw_32ow_128crw_1uf,3000000,0.254001
27,bench27_unpack_1bw_32ow_128crw_1uf,3000000,0.397956
28,bench28_unpack_2bw_32ow_128crw_1uf,3000000,0.382073
29,bench29_unpack_3bw_32ow_128crw_1uf,3000000,0.410916
30,bench30_unpack_4bw_32ow_128crw_1uf,3000000,0.358485
31,bench31_unpack_5bw_32ow_128crw_1uf,3000000,0.419032
32,bench32_unpack_6bw_32ow_128crw_1uf,3000000,0.410519
33,bench33_unpack_7bw_32ow_128crw_1uf,3000000,0.441071
34,bench34_unpack_8bw_32ow_128crw_1uf,3000000,0.322027
35,bench35_unpack_9bw_32ow_128crw_1uf,3000000,0.455572
36,bench36_unpack_10bw_32ow_128crw_1uf,3000000,0.442039
37,bench37_unpack_11bw_32ow_128crw_1uf,3000000,0.470667
38,bench38_unpack_12bw_32ow_128crw_1uf,3000000,0.42352
39,bench39_unpack_13bw_32ow_128crw_1uf,3000000,0.484892
40,bench40_unpack_14bw_32ow_128crw_1uf,3000000,0.478876
41,bench41_unpack_15bw_32ow_128crw_1uf,3000000,0.507819
