benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.0650755
0,4way_bitunpack_1,3000000,0.156038
0,4way_bitunpack_2,3000000,0.156073
0,4way_bitunpack_3,3000000,0.164339
0,4way_bitunpack_4,3000000,0.155693
0,4way_bitunpack_5,3000000,0.172352
0,4way_bitunpack_6,3000000,0.169039
0,4way_bitunpack_7,3000000,0.178704
0,4way_bitunpack_8,3000000,0.130069
0,4way_bitunpack_9,3000000,0.188511
0,4way_bitunpack_10,3000000,0.188567
0,4way_bitunpack_11,3000000,0.194979
0,4way_bitunpack_12,3000000,0.182105
0,4way_bitunpack_13,3000000,0.202144
0,4way_bitunpack_14,3000000,0.201575
0,4way_bitunpack_15,3000000,0.216362
0,4way_bitunpack_16,3000000,0.143825
0,4way_bitunpack_17,3000000,0.22233
0,4way_bitunpack_18,3000000,0.220055
0,4way_bitunpack_19,3000000,0.228735
0,4way_bitunpack_20,3000000,0.214489
0,4way_bitunpack_21,3000000,0.239629
0,4way_bitunpack_22,3000000,0.234053
0,4way_bitunpack_23,3000000,0.247349
0,4way_bitunpack_24,3000000,0.191048
0,4way_bitunpack_25,3000000,0.256442
0,4way_bitunpack_26,3000000,0.253354
0,4way_bitunpack_27,3000000,0.266284
0,4way_bitunpack_28,3000000,0.247005
0,4way_bitunpack_29,3000000,0.275747
0,4way_bitunpack_30,3000000,0.272581
0,4way_bitunpack_31,3000000,0.285247
0,4way_bitunpack_32,3000000,0.143358
