benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.0801602
0,4way_bitunpack_1,3000000,0.174182
0,4way_bitunpack_2,3000000,0.1697
0,4way_bitunpack_3,3000000,0.169152
0,4way_bitunpack_4,3000000,0.165386
0,4way_bitunpack_5,3000000,0.184489
0,4way_bitunpack_6,3000000,0.1847
0,4way_bitunpack_7,3000000,0.178014
0,4way_bitunpack_8,3000000,0.188954
0,4way_bitunpack_9,3000000,0.185222
0,4way_bitunpack_10,3000000,0.184196
0,4way_bitunpack_11,3000000,0.195003
0,4way_bitunpack_12,3000000,0.182437
0,4way_bitunpack_13,3000000,0.20171
0,4way_bitunpack_14,3000000,0.201455
0,4way_bitunpack_15,3000000,0.208028
0,4way_bitunpack_16,3000000,0.18522
0,4way_bitunpack_17,3000000,0.219053
0,4way_bitunpack_18,3000000,0.214674
0,4way_bitunpack_19,3000000,0.228335
0,4way_bitunpack_20,3000000,0.214689
0,4way_bitunpack_21,3000000,0.239719
0,4way_bitunpack_22,3000000,0.232477
0,4way_bitunpack_23,3000000,0.248157
0,4way_bitunpack_24,3000000,0.189145
0,4way_bitunpack_25,3000000,0.258243
0,4way_bitunpack_26,3000000,0.254427
0,4way_bitunpack_27,3000000,0.267233
0,4way_bitunpack_28,3000000,0.247412
0,4way_bitunpack_29,3000000,0.277547
0,4way_bitunpack_30,3000000,0.274684
0,4way_bitunpack_31,3000000,0.28679
0,4way_bitunpack_32,3000000,0.215846
