benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_512crw_1uf,3000000,0.014303
1,bench1_unpack_1bw_8ow_512crw_1uf,3000000,0.0153214
2,bench2_unpack_2bw_8ow_512crw_1uf,3000000,0.0166559
3,bench3_unpack_3bw_8ow_512crw_1uf,3000000,0.0209929
4,bench4_unpack_4bw_8ow_512crw_1uf,3000000,0.019479
5,bench5_unpack_5bw_8ow_512crw_1uf,3000000,0.0267621
6,bench6_unpack_6bw_8ow_512crw_1uf,3000000,0.0251501
7,bench7_unpack_7bw_8ow_512crw_1uf,3000000,0.0329006
8,bench8_unpack_8bw_8ow_512crw_1uf,3000000,0.0243399
9,bench9_unpack_0bw_16ow_512crw_1uf,3000000,0.0376506
10,bench10_unpack_1bw_16ow_512crw_1uf,3000000,0.0376365
11,bench11_unpack_2bw_16ow_512crw_1uf,3000000,0.0376566
12,bench12_unpack_3bw_16ow_512crw_1uf,3000000,0.0389408
13,bench13_unpack_4bw_16ow_512crw_1uf,3000000,0.0389296
14,bench14_unpack_5bw_16ow_512crw_1uf,3000000,0.0437972
15,bench15_unpack_6bw_16ow_512crw_1uf,3000000,0.0428295
16,bench16_unpack_7bw_16ow_512crw_1uf,3000000,0.0496323
17,bench17_unpack_8bw_16ow_512crw_1uf,3000000,0.0458929
18,bench18_unpack_9bw_16ow_512crw_1uf,3000000,0.0535553
19,bench19_unpack_10bw_16ow_512crw_1uf,3000000,0.0501928
20,bench20_unpack_11bw_16ow_512crw_1uf,3000000,0.0597638
21,bench21_unpack_12bw_16ow_512crw_1uf,3000000,0.0502829
22,bench22_unpack_13bw_16ow_512crw_1uf,3000000,0.0644889
23,bench23_unpack_14bw_16ow_512crw_1uf,3000000,0.0585626
24,bench24_unpack_15bw_16ow_512crw_1uf,3000000,0.0709401
25,bench25_unpack_16bw_16ow_512crw_1uf,3000000,0.0571204
26,bench26_unpack_0bw_32ow_512crw_1uf,3000000,0.054391
27,bench27_unpack_1bw_32ow_512crw_1uf,3000000,0.0562879
28,bench28_unpack_2bw_32ow_512crw_1uf,3000000,0.0576731
29,bench29_unpack_3bw_32ow_512crw_1uf,3000000,0.0653277
30,bench30_unpack_4bw_32ow_512crw_1uf,3000000,0.0634066
31,bench31_unpack_5bw_32ow_512crw_1uf,3000000,0.0772878
32,bench32_unpack_6bw_32ow_512crw_1uf,3000000,0.0736479
33,bench33_unpack_7bw_32ow_512crw_1uf,3000000,0.087903
34,bench34_unpack_8bw_32ow_512crw_1uf,3000000,0.0765019
35,bench35_unpack_9bw_32ow_512crw_1uf,3000000,0.0946363
36,bench36_unpack_10bw_32ow_512crw_1uf,3000000,0.0876283
37,bench37_unpack_11bw_32ow_512crw_1uf,3000000,0.10704
38,bench38_unpack_12bw_32ow_512crw_1uf,3000000,0.0866751
39,bench39_unpack_13bw_32ow_512crw_1uf,3000000,0.107075
40,bench40_unpack_14bw_32ow_512crw_1uf,3000000,0.0946283
41,bench41_unpack_15bw_32ow_512crw_1uf,3000000,0.107062
42,bench42_unpack_16bw_32ow_512crw_1uf,3000000,0.0917517
43,bench43_unpack_17bw_32ow_512crw_1uf,3000000,0.116019
44,bench44_unpack_18bw_32ow_512crw_1uf,3000000,0.0935569
45,bench45_unpack_19bw_32ow_512crw_1uf,3000000,0.142788
46,bench46_unpack_20bw_32ow_512crw_1uf,3000000,0.107039
47,bench47_unpack_21bw_32ow_512crw_1uf,3000000,0.175084
48,bench48_unpack_22bw_32ow_512crw_1uf,3000000,0.107075
49,bench49_unpack_23bw_32ow_512crw_1uf,3000000,0.214149
50,bench50_unpack_24bw_32ow_512crw_1uf,3000000,0.120451
51,bench51_unpack_25bw_32ow_512crw_1uf,3000000,0.237297
52,bench52_unpack_26bw_32ow_512crw_1uf,3000000,0.118647
53,bench53_unpack_27bw_32ow_512crw_1uf,3000000,0.280517
54,bench54_unpack_28bw_32ow_512crw_1uf,3000000,0.116074
55,bench55_unpack_29bw_32ow_512crw_1uf,3000000,0.294189
56,bench56_unpack_30bw_32ow_512crw_1uf,3000000,0.130703
57,bench57_unpack_31bw_32ow_512crw_1uf,3000000,0.318847
58,bench58_unpack_32bw_32ow_512crw_1uf,3000000,0.137046
59,bench59_unpack_0bw_64ow_512crw_1uf,3000000,0.107941
60,bench60_unpack_1bw_64ow_512crw_1uf,3000000,0.113158
61,bench61_unpack_2bw_64ow_512crw_1uf,3000000,0.11129
62,bench62_unpack_3bw_64ow_512crw_1uf,3000000,0.11481
63,bench63_unpack_4bw_64ow_512crw_1uf,3000000,0.111349
64,bench64_unpack_5bw_64ow_512crw_1uf,3000000,0.117438
65,bench65_unpack_6bw_64ow_512crw_1uf,3000000,0.116075
66,bench66_unpack_7bw_64ow_512crw_1uf,3000000,0.133708
67,bench67_unpack_8bw_64ow_512crw_1uf,3000000,0.129962
68,bench68_unpack_9bw_64ow_512crw_1uf,3000000,0.133775
69,bench69_unpack_10bw_64ow_512crw_1uf,3000000,0.136976
70,bench70_unpack_11bw_64ow_512crw_1uf,3000000,0.142091
71,bench71_unpack_12bw_64ow_512crw_1uf,3000000,0.139185
72,bench72_unpack_13bw_64ow_512crw_1uf,3000000,0.150652
73,bench73_unpack_14bw_64ow_512crw_1uf,3000000,0.151991
74,bench74_unpack_15bw_64ow_512crw_1uf,3000000,0.160616
75,bench75_unpack_16bw_64ow_512crw_1uf,3000000,0.148674
76,bench76_unpack_17bw_64ow_512crw_1uf,3000000,0.169891
77,bench77_unpack_18bw_64ow_512crw_1uf,3000000,0.160588
78,bench78_unpack_19bw_64ow_512crw_1uf,3000000,0.174059
79,bench79_unpack_20bw_64ow_512crw_1uf,3000000,0.160592
80,bench80_unpack_21bw_64ow_512crw_1uf,3000000,0.174066
81,bench81_unpack_22bw_64ow_512crw_1uf,3000000,0.171359
82,bench82_unpack_23bw_64ow_512crw_1uf,3000000,0.178785
83,bench83_unpack_24bw_64ow_512crw_1uf,3000000,0.171289
84,bench84_unpack_25bw_64ow_512crw_1uf,3000000,0.186872
85,bench85_unpack_26bw_64ow_512crw_1uf,3000000,0.178433
86,bench86_unpack_27bw_64ow_512crw_1uf,3000000,0.189415
87,bench87_unpack_28bw_64ow_512crw_1uf,3000000,0.17628
88,bench88_unpack_29bw_64ow_512crw_1uf,3000000,0.196798
89,bench89_unpack_30bw_64ow_512crw_1uf,3000000,0.184703
90,bench90_unpack_31bw_64ow_512crw_1uf,3000000,0.214109
91,bench91_unpack_32bw_64ow_512crw_1uf,3000000,0.177448
92,bench92_unpack_33bw_64ow_512crw_1uf,3000000,0.214127
93,bench93_unpack_34bw_64ow_512crw_1uf,3000000,0.193755
94,bench94_unpack_35bw_64ow_512crw_1uf,3000000,0.240327
95,bench95_unpack_36bw_64ow_512crw_1uf,3000000,0.190967
96,bench96_unpack_37bw_64ow_512crw_1uf,3000000,0.270771
97,bench97_unpack_38bw_64ow_512crw_1uf,3000000,0.213761
98,bench98_unpack_39bw_64ow_512crw_1uf,3000000,0.267657
99,bench99_unpack_40bw_64ow_512crw_1uf,3000000,0.200747
100,bench100_unpack_41bw_64ow_512crw_1uf,3000000,0.2855
101,bench101_unpack_42bw_64ow_512crw_1uf,3000000,0.214087
102,bench102_unpack_43bw_64ow_512crw_1uf,3000000,0.307074
103,bench103_unpack_44bw_64ow_512crw_1uf,3000000,0.214069
104,bench104_unpack_45bw_64ow_512crw_1uf,3000000,0.319566
105,bench105_unpack_46bw_64ow_512crw_1uf,3000000,0.214078
106,bench106_unpack_47bw_64ow_512crw_1uf,3000000,0.33353
107,bench107_unpack_48bw_64ow_512crw_1uf,3000000,0.223952
108,bench108_unpack_49bw_64ow_512crw_1uf,3000000,0.349267
109,bench109_unpack_50bw_64ow_512crw_1uf,3000000,0.216062
110,bench110_unpack_51bw_64ow_512crw_1uf,3000000,0.37519
111,bench111_unpack_52bw_64ow_512crw_1uf,3000000,0.21414
112,bench112_unpack_53bw_64ow_512crw_1uf,3000000,0.391645
113,bench113_unpack_54bw_64ow_512crw_1uf,3000000,0.227696
114,bench114_unpack_55bw_64ow_512crw_1uf,3000000,0.40394
115,bench115_unpack_56bw_64ow_512crw_1uf,3000000,0.260645
116,bench116_unpack_57bw_64ow_512crw_1uf,3000000,0.411061
117,bench117_unpack_58bw_64ow_512crw_1uf,3000000,0.234108
118,bench118_unpack_59bw_64ow_512crw_1uf,3000000,0.426454
119,bench119_unpack_60bw_64ow_512crw_1uf,3000000,0.225784
120,bench120_unpack_61bw_64ow_512crw_1uf,3000000,0.42826
121,bench121_unpack_62bw_64ow_512crw_1uf,3000000,0.357137
122,bench122_unpack_63bw_64ow_512crw_1uf,3000000,0.463938
123,bench123_unpack_64bw_64ow_512crw_1uf,3000000,0.273474
