benchmark_number,name,iterations,cycles_per_tuple
0,scalar_delta_08,3000000,0.845974
1,scalar_delta_16,3000000,0.848086
2,scalar_delta_32,3000000,0.855995
3,scalar_delta_64,3000000,0.856016
4,d1_128_8,3000000,0.356753
5,d1_128_16,3000000,0.76145
6,d1_128_32,3000000,0.495326
7,d1_128_64,3000000,2.65044
8,d1_512_32,3000000,0.404155
9,d1_512_64,3000000,0.838028
10,four_cursor_delta_08,3000000,0.830789
11,four_cursor_delta_16,3000000,0.831562
12,four_cursor_delta_32,3000000,0.83156
13,four_cursor_delta_64,3000000,0.831659
14,d1_256_32,3000000,0.445134
15,my_d1_256_32,3000000,0.440731
