benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0_8,30000000,0.855263
1,bitunpack_1_8,30000000,1.1192
2,bitunpack_2_8,30000000,1.09212
3,bitunpack_3_8,30000000,1.22323
4,bitunpack_4_8,30000000,1.01408
5,bitunpack_5_8,30000000,1.32759
6,bitunpack_6_8,30000000,1.30124
7,bitunpack_7_8,30000000,1.45008
8,bitunpack_8_8,30000000,0.904236
9,bitunpack_0_16,30000000,0.420719
10,bitunpack_1_16,30000000,0.929183
11,bitunpack_2_16,30000000,0.909866
12,bitunpack_3_16,30000000,1.01397
13,bitunpack_4_16,30000000,0.857941
14,bitunpack_5_16,30000000,1.06582
15,bitunpack_6_16,30000000,0.909795
16,bitunpack_7_16,30000000,1.06604
17,bitunpack_8_16,30000000,0.727799
18,bitunpack_9_16,30000000,0.999107
19,bitunpack_10_16,30000000,0.90988
20,bitunpack_11_16,30000000,0.935821
21,bitunpack_12_16,30000000,0.857968
22,bitunpack_13_16,30000000,0.961662
23,bitunpack_14_16,30000000,0.932278
24,bitunpack_15_16,30000000,0.983207
25,bitunpack_16_16,30000000,0.634831
26,bitunpack_0_32,30000000,0.260043
27,bitunpack_1_32,30000000,0.826774
28,bitunpack_2_32,30000000,0.80592
29,bitunpack_3_32,30000000,0.766875
30,bitunpack_4_32,30000000,0.736334
31,bitunpack_5_32,30000000,0.766725
32,bitunpack_6_32,30000000,0.818644
33,bitunpack_7_32,30000000,0.831832
34,bitunpack_8_32,30000000,0.597937
0,bitunpack_9_32,30000000,0.831944
0,bitunpack_10_32,30000000,0.753865
0,bitunpack_11_32,30000000,0.831857
0,bitunpack_12_32,30000000,0.901195
0,bitunpack_13_32,30000000,0.832011
0,bitunpack_14_32,30000000,0.834033
0,bitunpack_15_32,30000000,0.766895
0,bitunpack_16_32,30000000,0.528699
0,bitunpack_17_32,30000000,0.766924
0,bitunpack_18_32,30000000,0.848543
0,bitunpack_19_32,30000000,0.766904
0,bitunpack_20_32,30000000,0.736571
0,bitunpack_21_32,30000000,0.964129
0,bitunpack_22_32,30000000,0.868903
0,bitunpack_23_32,30000000,0.895704
0,bitunpack_24_32,30000000,0.754768
0,bitunpack_25_32,30000000,0.882757
0,bitunpack_26_32,30000000,0.861651
0,bitunpack_27_32,30000000,0.924012
0,bitunpack_28_32,30000000,0.845028
0,bitunpack_29_32,30000000,0.987929
0,bitunpack_30_32,30000000,0.942318
0,bitunpack_31_32,30000000,0.963083
0,bitunpack_32_32,30000000,0.506154
0,bitunpack_0_64,30000000,0.467994
0,bitunpack_1_64,30000000,0.865154
0,bitunpack_2_64,30000000,0.847639
0,bitunpack_3_64,30000000,0.788538
0,bitunpack_4_64,30000000,0.736543
0,bitunpack_5_64,30000000,0.815258
0,bitunpack_6_64,30000000,0.895221
0,bitunpack_7_64,30000000,0.909803
0,bitunpack_8_64,30000000,0.571972
0,bitunpack_9_64,30000000,0.935873
0,bitunpack_10_64,30000000,0.936931
0,bitunpack_11_64,30000000,0.961763
0,bitunpack_12_64,30000000,0.84073
0,bitunpack_13_64,30000000,1.0045
0,bitunpack_14_64,30000000,0.987894
0,bitunpack_15_64,30000000,0.961852
0,bitunpack_16_64,30000000,0.528738
0,bitunpack_17_64,30000000,0.987828
0,bitunpack_18_64,30000000,1.03995
0,bitunpack_19_64,30000000,1.0226
0,bitunpack_20_64,30000000,0.94456
0,bitunpack_21_64,30000000,1.11773
0,bitunpack_22_64,30000000,1.1116
0,bitunpack_23_64,30000000,1.17001
0,bitunpack_24_64,30000000,0.955897
0,bitunpack_25_64,30000000,1.27848
0,bitunpack_26_64,30000000,1.24727
0,bitunpack_27_64,30000000,1.27247
0,bitunpack_28_64,30000000,1.19226
0,bitunpack_29_64,30000000,1.3072
0,bitunpack_30_64,30000000,1.25619
0,bitunpack_31_64,30000000,1.30011
0,bitunpack_32_64,30000000,0.525265
0,bitunpack_33_64,30000000,1.32592
0,bitunpack_34_64,30000000,1.32127
0,bitunpack_35_64,30000000,1.35214
0,bitunpack_36_64,30000000,1.28081
0,bitunpack_37_64,30000000,1.40784
0,bitunpack_38_64,30000000,1.37761
0,bitunpack_39_64,30000000,1.42512
0,bitunpack_40_64,30000000,1.1962
0,bitunpack_41_64,30000000,1.45655
0,bitunpack_42_64,30000000,1.43601
0,bitunpack_43_64,30000000,1.48184
0,bitunpack_44_64,30000000,1.40557
0,bitunpack_45_64,30000000,1.54706
0,bitunpack_46_64,30000000,1.51115
0,bitunpack_47_64,30000000,1.64022
0,bitunpack_48_64,30000000,1.11096
0,bitunpack_49_64,30000000,1.80634
0,bitunpack_50_64,30000000,1.75615
0,bitunpack_51_64,30000000,1.82599
0,bitunpack_52_64,30000000,1.54397
0,bitunpack_53_64,30000000,1.66724
0,bitunpack_54_64,30000000,1.67247
0,bitunpack_55_64,30000000,1.6908
0,bitunpack_56_64,30000000,1.456
0,bitunpack_57_64,30000000,1.71601
0,bitunpack_58_64,30000000,1.82716
0,bitunpack_59_64,30000000,1.88327
0,bitunpack_60_64,30000000,1.6875
0,bitunpack_61_64,30000000,1.89784
0,bitunpack_62_64,30000000,1.87086
0,bitunpack_63_64,30000000,1.89052
0,bitunpack_64_64,30000000,0.548049
