benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0,3000000,0.529302
0,bitunpack_1,3000000,2.06355
0,bitunpack_2,3000000,1.86695
0,bitunpack_3,3000000,1.88183
0,bitunpack_4,3000000,1.50304
0,bitunpack_5,3000000,2.25111
0,bitunpack_6,3000000,1.81297
0,bitunpack_7,3000000,1.8979
0,bitunpack_8,3000000,1.12845
0,bitunpack_0,3000000,0.250573
0,bitunpack_1,3000000,1.03378
0,bitunpack_2,3000000,1.00209
0,bitunpack_3,3000000,1.12735
0,bitunpack_4,3000000,0.970758
0,bitunpack_5,3000000,1.22132
0,bitunpack_6,3000000,1.18996
0,bitunpack_7,3000000,1.31517
0,bitunpack_16,3000000,0.720081
0,bitunpack_0,3000000,1.40911
0,bitunpack_1,3000000,1.37778
0,bitunpack_2,3000000,1.50291
0,bitunpack_3,3000000,1.34693
0,bitunpack_4,3000000,1.5971
0,bitunpack_5,3000000,1.56565
0,bitunpack_6,3000000,1.65986
0,bitunpack_7,3000000,1.06518
0,bitunpack_0,3000000,0.125223
0,bitunpack_1,3000000,1.03361
0,bitunpack_2,3000000,1.00206
0,bitunpack_3,3000000,1.06475
0,bitunpack_4,3000000,1.00207
0,bitunpack_5,3000000,1.12741
0,bitunpack_6,3000000,1.09595
0,bitunpack_7,3000000,1.15862
0,bitunpack_32,3000000,0.877026
0,bitunpack_0,3000000,1.25253
0,bitunpack_1,3000000,1.19
0,bitunpack_2,3000000,1.28385
0,bitunpack_3,3000000,1.19002
0,bitunpack_4,3000000,1.31514
0,bitunpack_5,3000000,1.31516
0,bitunpack_6,3000000,1.3464
0,bitunpack_7,3000000,0.689071
0,bitunpack_0,3000000,1.40908
0,bitunpack_1,3000000,1.40912
0,bitunpack_2,3000000,1.47159
0,bitunpack_3,3000000,1.40917
0,bitunpack_4,3000000,1.50291
0,bitunpack_5,3000000,1.50317
0,bitunpack_6,3000000,1.56545
0,bitunpack_7,3000000,1.3464
0,bitunpack_32,3000000,1.59711
0,bitunpack_0,3000000,1.59683
0,bitunpack_1,3000000,1.65966
0,bitunpack_2,3000000,1.59685
0,bitunpack_3,3000000,1.69129
0,bitunpack_4,3000000,1.6907
0,bitunpack_5,3000000,1.72221
0,bitunpack_6,3000000,1.03321
0,bitunpack_0,3000000,0.125297
0,bitunpack_1,3000000,1.03322
0,bitunpack_2,3000000,1.00224
0,bitunpack_3,3000000,1.06489
0,bitunpack_4,3000000,1.00197
0,bitunpack_5,3000000,1.1277
0,bitunpack_6,3000000,1.09585
0,bitunpack_7,3000000,1.15846
0,bitunpack_32,3000000,0.876861
0,bitunpack_0,3000000,1.25232
0,bitunpack_1,3000000,1.18982
0,bitunpack_2,3000000,1.28387
0,bitunpack_3,3000000,1.18979
0,bitunpack_4,3000000,1.31497
0,bitunpack_5,3000000,1.31524
0,bitunpack_6,3000000,1.34639
0,bitunpack_7,3000000,0.688788
0,bitunpack_0,3000000,1.4094
0,bitunpack_1,3000000,1.40898
0,bitunpack_2,3000000,1.47178
0,bitunpack_3,3000000,1.40893
0,bitunpack_4,3000000,1.50296
0,bitunpack_5,3000000,1.50306
0,bitunpack_6,3000000,1.56556
0,bitunpack_7,3000000,1.34657
0,bitunpack_32,3000000,1.59696
0,bitunpack_0,3000000,1.59702
0,bitunpack_1,3000000,1.65949
0,bitunpack_2,3000000,1.6108
0,bitunpack_3,3000000,1.69072
0,bitunpack_4,3000000,1.69092
0,bitunpack_5,3000000,1.72195
0,bitunpack_6,3000000,1.03328
0,bitunpack_0,3000000,1.75346
0,bitunpack_1,3000000,1.75339
0,bitunpack_2,3000000,1.81628
0,bitunpack_3,3000000,1.7533
0,bitunpack_4,3000000,1.8475
0,bitunpack_5,3000000,1.84724
0,bitunpack_6,3000000,1.91004
0,bitunpack_7,3000000,1.65954
0,bitunpack_32,3000000,1.94125
0,bitunpack_0,3000000,1.94149
0,bitunpack_1,3000000,2.00391
0,bitunpack_2,3000000,1.94181
0,bitunpack_3,3000000,2.03516
0,bitunpack_4,3000000,2.03539
0,bitunpack_5,3000000,2.09787
0,bitunpack_6,3000000,1.53423
0,bitunpack_7,3000000,2.12935
0,bitunpack_0,3000000,2.12906
0,bitunpack_1,3000000,2.1918
0,bitunpack_2,3000000,2.12914
0,bitunpack_3,3000000,2.22318
0,bitunpack_4,3000000,2.22374
0,bitunpack_5,3000000,2.28563
0,bitunpack_6,3000000,2.03536
0,bitunpack_7,3000000,2.31707
0,bitunpack_32,3000000,2.31686
0,bitunpack_0,3000000,2.41101
0,bitunpack_1,3000000,2.31716
0,bitunpack_2,3000000,2.44215
0,bitunpack_3,3000000,2.41095
0,bitunpack_4,3000000,2.505
0,bitunpack_5,3000000,1.0332
