benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,1.00705
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,1.02095
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,1.0128
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,1.19148
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,1.00776
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,1.38165
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,1.31657
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,1.56962
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,1.02027
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,1.00612
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,1.0238
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,1.01321
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,1.07174
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,1.01142
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,1.19098
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,1.13408
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,1.23598
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,1.00604
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,1.3328
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,1.27718
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,1.40284
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,1.27742
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,1.51396
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,1.49717
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,1.60836
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,1.01007
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,1.00699
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,1.00609
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,1.18979
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,1.10407
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,1.21173
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,1.15941
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,1.16505
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,1.32801
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,1.01364
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,1.2736
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,1.34999
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,1.28993
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,1.25087
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,1.40686
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,1.35779
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,1.37761
