benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.157106
0,4way_bitunpack_1,3000000,0.28279
0,4way_bitunpack_2,3000000,0.282697
0,4way_bitunpack_3,3000000,0.282692
0,4way_bitunpack_4,3000000,0.28268
0,4way_bitunpack_5,3000000,0.282692
0,4way_bitunpack_6,3000000,0.282761
0,4way_bitunpack_7,3000000,0.28272
0,4way_bitunpack_8,3000000,0.282692
0,4way_bitunpack_9,3000000,0.282699
0,4way_bitunpack_10,3000000,0.282721
0,4way_bitunpack_11,3000000,0.290545
0,4way_bitunpack_12,3000000,0.282691
0,4way_bitunpack_13,3000000,0.306275
0,4way_bitunpack_14,3000000,0.298779
0,4way_bitunpack_15,3000000,0.314101
0,4way_bitunpack_16,3000000,0.282724
0,4way_bitunpack_17,3000000,0.340261
0,4way_bitunpack_18,3000000,0.330312
0,4way_bitunpack_19,3000000,0.359623
0,4way_bitunpack_20,3000000,0.333813
0,4way_bitunpack_21,3000000,0.359841
0,4way_bitunpack_22,3000000,0.346889
0,4way_bitunpack_23,3000000,0.377078
0,4way_bitunpack_24,3000000,0.282854
0,4way_bitunpack_25,3000000,0.384491
0,4way_bitunpack_26,3000000,0.374383
0,4way_bitunpack_27,3000000,0.396704
0,4way_bitunpack_28,3000000,0.379955
0,4way_bitunpack_29,3000000,0.408447
0,4way_bitunpack_30,3000000,0.396004
0,4way_bitunpack_31,3000000,0.415295
0,4way_bitunpack_32,3000000,0.282682
