benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_512crw_1uf,30000000,0.0166936
1,bench1_unpack_1bw_8ow_512crw_1uf,30000000,0.0191247
2,bench2_unpack_2bw_8ow_512crw_1uf,30000000,0.0166869
3,bench3_unpack_3bw_8ow_512crw_1uf,30000000,0.0206136
4,bench4_unpack_4bw_8ow_512crw_1uf,30000000,0.0166883
5,bench5_unpack_5bw_8ow_512crw_1uf,30000000,0.0245395
6,bench6_unpack_6bw_8ow_512crw_1uf,30000000,0.0235584
7,bench7_unpack_7bw_8ow_512crw_1uf,30000000,0.0287339
8,bench8_unpack_8bw_8ow_512crw_1uf,30000000,0.0171494
9,bench9_unpack_0bw_16ow_512crw_1uf,30000000,0.0323908
10,bench10_unpack_1bw_16ow_512crw_1uf,30000000,0.0343794
11,bench11_unpack_2bw_16ow_512crw_1uf,30000000,0.037082
12,bench12_unpack_3bw_16ow_512crw_1uf,30000000,0.0398724
13,bench13_unpack_4bw_16ow_512crw_1uf,30000000,0.0373414
14,bench14_unpack_5bw_16ow_512crw_1uf,30000000,0.0440083
15,bench15_unpack_6bw_16ow_512crw_1uf,30000000,0.045427
16,bench16_unpack_7bw_16ow_512crw_1uf,30000000,0.0494885
17,bench17_unpack_8bw_16ow_512crw_1uf,30000000,0.0351209
18,bench18_unpack_9bw_16ow_512crw_1uf,30000000,0.0506787
19,bench19_unpack_10bw_16ow_512crw_1uf,30000000,0.0487014
20,bench20_unpack_11bw_16ow_512crw_1uf,30000000,0.0534138
21,bench21_unpack_12bw_16ow_512crw_1uf,30000000,0.042036
22,bench22_unpack_13bw_16ow_512crw_1uf,30000000,0.0576701
23,bench23_unpack_14bw_16ow_512crw_1uf,30000000,0.0556507
24,bench24_unpack_15bw_16ow_512crw_1uf,30000000,0.0630453
25,bench25_unpack_16bw_16ow_512crw_1uf,30000000,0.0425647
26,bench26_unpack_0bw_32ow_512crw_1uf,30000000,0.0638033
27,bench27_unpack_1bw_32ow_512crw_1uf,30000000,0.067687
28,bench28_unpack_2bw_32ow_512crw_1uf,30000000,0.0666461
29,bench29_unpack_3bw_32ow_512crw_1uf,30000000,0.0751586
30,bench30_unpack_4bw_32ow_512crw_1uf,30000000,0.070851
31,bench31_unpack_5bw_32ow_512crw_1uf,30000000,0.0833902
32,bench32_unpack_6bw_32ow_512crw_1uf,30000000,0.0794809
33,bench33_unpack_7bw_32ow_512crw_1uf,30000000,0.0844349
34,bench34_unpack_8bw_32ow_512crw_1uf,30000000,0.0643469
35,bench35_unpack_9bw_32ow_512crw_1uf,30000000,0.0894588
36,bench36_unpack_10bw_32ow_512crw_1uf,30000000,0.0867721
37,bench37_unpack_11bw_32ow_512crw_1uf,30000000,0.0942009
38,bench38_unpack_12bw_32ow_512crw_1uf,30000000,0.0858762
39,bench39_unpack_13bw_32ow_512crw_1uf,30000000,0.0963417
40,bench40_unpack_14bw_32ow_512crw_1uf,30000000,0.0946709
41,bench41_unpack_15bw_32ow_512crw_1uf,30000000,0.11168
42,bench42_unpack_16bw_32ow_512crw_1uf,30000000,0.0650578
43,bench43_unpack_17bw_32ow_512crw_1uf,30000000,0.118447
44,bench44_unpack_18bw_32ow_512crw_1uf,30000000,0.107048
