benchmark_number,name,iterations,cycles_per_tuple
1,rle_scalar,3000000,0.0718433
1,rle_simd,3000000,0.138458
2,rle_scalar,3000000,0.0941212
2,rle_simd,3000000,0.116701
3,rle_scalar,3000000,0.0921399
3,rle_simd,3000000,0.0995285
4,rle_scalar,3000000,0.0973378
4,rle_simd,3000000,0.0964003
5,rle_scalar,3000000,0.113805
5,rle_simd,3000000,0.0895864
6,rle_scalar,3000000,0.122162
6,rle_simd,3000000,0.0961799
7,rle_scalar,3000000,0.137808
7,rle_simd,3000000,0.103962
8,rle_scalar,3000000,0.145475
8,rle_simd,3000000,0.108936
9,rle_scalar,3000000,0.222825
9,rle_simd,3000000,0.115749
10,rle_scalar,3000000,0.248174
10,rle_simd,3000000,0.121644
11,rle_scalar,3000000,0.240493
11,rle_simd,3000000,0.12387
12,rle_scalar,3000000,0.249314
12,rle_simd,3000000,0.117007
13,rle_scalar,3000000,0.279737
13,rle_simd,3000000,0.124059
14,rle_scalar,3000000,0.292693
14,rle_simd,3000000,0.122759
15,rle_scalar,3000000,0.321943
15,rle_simd,3000000,0.130977
16,rle_scalar,3000000,0.300364
16,rle_simd,3000000,0.134953
17,rle_scalar,3000000,0.33573
17,rle_simd,3000000,0.136413
18,rle_scalar,3000000,0.329221
18,rle_simd,3000000,0.13757
19,rle_scalar,3000000,0.307247
19,rle_simd,3000000,0.133552
20,rle_scalar,3000000,0.390663
20,rle_simd,3000000,0.145679
21,rle_scalar,3000000,0.407333
21,rle_simd,3000000,0.145424
22,rle_scalar,3000000,0.421071
22,rle_simd,3000000,0.157167
23,rle_scalar,3000000,0.43089
23,rle_simd,3000000,0.163189
24,rle_scalar,3000000,0.433829
24,rle_simd,3000000,0.169039
25,rle_scalar,3000000,0.449548
25,rle_simd,3000000,0.169101
26,rle_scalar,3000000,0.441698
26,rle_simd,3000000,0.174974
27,rle_scalar,3000000,0.447703
27,rle_simd,3000000,0.1738
28,rle_scalar,3000000,0.445031
28,rle_simd,3000000,0.191712
29,rle_scalar,3000000,0.433882
29,rle_simd,3000000,0.188638
30,rle_scalar,3000000,0.466364
30,rle_simd,3000000,0.187027
31,rle_scalar,3000000,0.443533
31,rle_simd,3000000,0.193584
32,rle_scalar,3000000,0.475697
32,rle_simd,3000000,0.184236
33,rle_scalar,3000000,0.493761
33,rle_simd,3000000,0.188594
34,rle_scalar,3000000,0.495222
34,rle_simd,3000000,0.199346
35,rle_scalar,3000000,0.488853
35,rle_simd,3000000,0.20323
36,rle_scalar,3000000,0.52409
36,rle_simd,3000000,0.204219
37,rle_scalar,3000000,0.53451
37,rle_simd,3000000,0.206169
38,rle_scalar,3000000,0.565849
38,rle_simd,3000000,0.204193
39,rle_scalar,3000000,0.569615
39,rle_simd,3000000,0.215032
40,rle_scalar,3000000,0.561269
40,rle_simd,3000000,0.219908
41,rle_scalar,3000000,0.570728
41,rle_simd,3000000,0.218924
42,rle_scalar,3000000,0.553762
42,rle_simd,3000000,0.226774
43,rle_scalar,3000000,0.561693
43,rle_simd,3000000,0.228732
44,rle_scalar,3000000,0.586478
44,rle_simd,3000000,0.234642
45,rle_scalar,3000000,0.59828
45,rle_simd,3000000,0.239531
46,rle_scalar,3000000,0.568738
46,rle_simd,3000000,0.244468
47,rle_scalar,3000000,0.623522
47,rle_simd,3000000,0.247379
48,rle_scalar,3000000,0.605837
48,rle_simd,3000000,0.258174
49,rle_scalar,3000000,0.581146
49,rle_simd,3000000,0.254253
50,rle_scalar,3000000,0.608425
50,rle_simd,3000000,0.26312
51,rle_scalar,3000000,0.603993
51,rle_simd,3000000,0.264059
52,rle_scalar,3000000,0.603104
52,rle_simd,3000000,0.272903
53,rle_scalar,3000000,0.620788
53,rle_simd,3000000,0.284686
54,rle_scalar,3000000,0.634621
54,rle_simd,3000000,0.289587
55,rle_scalar,3000000,0.646
55,rle_simd,3000000,0.294492
56,rle_scalar,3000000,0.619979
56,rle_simd,3000000,0.29252
57,rle_scalar,3000000,0.642068
57,rle_simd,3000000,0.310632
58,rle_scalar,3000000,0.639495
58,rle_simd,3000000,0.299387
59,rle_scalar,3000000,0.708448
59,rle_simd,3000000,0.302382
60,rle_scalar,3000000,0.718759
60,rle_simd,3000000,0.317097
61,rle_scalar,3000000,0.70242
61,rle_simd,3000000,0.321974
62,rle_scalar,3000000,0.720382
62,rle_simd,3000000,0.319046
63,rle_scalar,3000000,0.726433
63,rle_simd,3000000,0.331804
64,rle_scalar,3000000,0.726204
64,rle_simd,3000000,0.335716
65,rle_scalar,3000000,0.782507
65,rle_simd,3000000,0.332766
66,rle_scalar,3000000,0.750908
66,rle_simd,3000000,0.331889
67,rle_scalar,3000000,0.771809
67,rle_simd,3000000,0.351432
68,rle_scalar,3000000,0.782556
68,rle_simd,3000000,0.34851
69,rle_scalar,3000000,0.797332
69,rle_simd,3000000,0.36124
70,rle_scalar,3000000,0.830812
70,rle_simd,3000000,0.392566
71,rle_scalar,3000000,0.815875
71,rle_simd,3000000,0.392601
72,rle_scalar,3000000,0.838845
72,rle_simd,3000000,0.399183
