benchmark_number,name,iterations,cycles_per_tuple
0,bitunpack_0_8,30000000,0.782093
1,bitunpack_1_8,30000000,1.22559
2,bitunpack_2_8,30000000,1.16267
3,bitunpack_3_8,30000000,1.36178
4,bitunpack_4_8,30000000,1.13191
5,bitunpack_5_8,30000000,1.73883
6,bitunpack_6_8,30000000,1.57663
7,bitunpack_7_8,30000000,1.77937
8,bitunpack_8_8,30000000,1.13244
9,bitunpack_0_16,30000000,0.519495
10,bitunpack_1_16,30000000,1.13125
11,bitunpack_2_16,30000000,1.09972
12,bitunpack_3_16,30000000,1.31982
13,bitunpack_3_16,30000000,1.06843
14,bitunpack_4_16,30000000,1.44546
15,bitunpack_5_16,30000000,1.09969
16,bitunpack_6_16,30000000,1.44554
17,bitunpack_7_16,30000000,1.06836
18,bitunpack_8_16,30000000,1.19449
19,bitunpack_9_16,30000000,1.09985
20,bitunpack_10_16,30000000,1.13126
21,bitunpack_11_16,30000000,1.06838
22,bitunpack_12_16,30000000,1.13109
23,bitunpack_13_16,30000000,1.09974
24,bitunpack_14_16,30000000,1.13128
25,bitunpack_15_16,30000000,1.06841
26,bitunpack_0_32,30000000,0.534202
27,bitunpack_1_32,30000000,1.30237
28,bitunpack_2_32,30000000,1.29405
29,bitunpack_3_32,30000000,1.06828
30,bitunpack_4_32,30000000,1.03711
31,bitunpack_5_32,30000000,1.06846
32,bitunpack_6_32,30000000,1.30725
33,bitunpack_7_32,30000000,1.3524
34,bitunpack_8_32,30000000,1.03702
0,bitunpack_9_32,30000000,1.35504
0,bitunpack_10_32,30000000,1.06827
0,bitunpack_11_32,30000000,1.35895
0,bitunpack_12_32,30000000,1.3491
0,bitunpack_13_32,30000000,1.32055
0,bitunpack_14_32,30000000,1.35103
0,bitunpack_15_32,30000000,1.06833
0,bitunpack_16_32,30000000,1.03683
0,bitunpack_17_32,30000000,1.06832
0,bitunpack_18_32,30000000,1.35891
0,bitunpack_19_32,30000000,1.06841
0,bitunpack_20_32,30000000,1.037
0,bitunpack_21_32,30000000,1.48451
0,bitunpack_22_32,30000000,1.3513
0,bitunpack_23_32,30000000,1.46943
0,bitunpack_24_32,30000000,1.3164
0,bitunpack_25_32,30000000,1.4659
0,bitunpack_26_32,30000000,1.39521
0,bitunpack_27_32,30000000,1.41302
0,bitunpack_28_32,30000000,1.44437
0,bitunpack_29_32,30000000,1.44859
0,bitunpack_30_32,30000000,1.45118
0,bitunpack_31_32,30000000,1.44976
0,bitunpack_32_32,30000000,1.03699
0,bitunpack_0,30000000,1.03699
0,bitunpack_1,30000000,1.36479
0,bitunpack_2,30000000,1.31812
0,bitunpack_3,30000000,1.10052
0,bitunpack_4,30000000,1.03739
0,bitunpack_5,30000000,1.16271
0,bitunpack_6,30000000,1.45386
0,bitunpack_7,30000000,1.3198
0,bitunpack_32,30000000,1.03681
0,bitunpack_0,30000000,1.48719
0,bitunpack_1,30000000,1.45289
0,bitunpack_2,30000000,1.45039
0,bitunpack_3,30000000,1.19412
0,bitunpack_4,30000000,1.47697
0,bitunpack_5,30000000,1.45323
0,bitunpack_6,30000000,1.38268
0,bitunpack_7,30000000,1.03698
0,bitunpack_0,30000000,1.41411
0,bitunpack_1,30000000,1.51619
0,bitunpack_2,30000000,1.47678
0,bitunpack_3,30000000,1.35124
0,bitunpack_4,30000000,1.63405
0,bitunpack_5,30000000,1.60263
0,bitunpack_6,30000000,1.96068
0,bitunpack_7,30000000,1.47534
0,bitunpack_32,30000000,2.00222
0,bitunpack_0,30000000,2.02964
0,bitunpack_1,30000000,1.97481
0,bitunpack_2,30000000,2.0326
0,bitunpack_3,30000000,1.95626
0,bitunpack_4,30000000,2.02857
0,bitunpack_5,30000000,2.04876
0,bitunpack_6,30000000,1.03682
0,bitunpack_0,30000000,1.99013
0,bitunpack_1,30000000,2.02892
0,bitunpack_2,30000000,2.05566
0,bitunpack_3,30000000,2.01882
0,bitunpack_4,30000000,2.08544
0,bitunpack_5,30000000,2.1305
0,bitunpack_6,30000000,2.1104
0,bitunpack_7,30000000,1.90048
0,bitunpack_32,30000000,2.18581
0,bitunpack_0,30000000,2.20797
0,bitunpack_1,30000000,2.22356
0,bitunpack_2,30000000,2.21608
0,bitunpack_3,30000000,2.29899
0,bitunpack_4,30000000,2.23491
0,bitunpack_5,30000000,2.62839
0,bitunpack_6,30000000,1.75613
0,bitunpack_7,30000000,2.61822
0,bitunpack_0,30000000,2.56386
0,bitunpack_1,30000000,2.69823
0,bitunpack_2,30000000,2.49692
0,bitunpack_3,30000000,2.55801
0,bitunpack_4,30000000,2.5386
0,bitunpack_5,30000000,2.61068
0,bitunpack_6,30000000,2.34499
0,bitunpack_7,30000000,2.62019
0,bitunpack_32,30000000,2.61914
0,bitunpack_0,30000000,2.69315
0,bitunpack_1,30000000,2.5892
0,bitunpack_2,30000000,2.87048
0,bitunpack_3,30000000,2.75196
0,bitunpack_4,30000000,2.85813
0,bitunpack_5,30000000,1.03699
