benchmark_number,name,iterations,cycles_per_tuple
0,4way_bitunpack_0,3000000,0.240071
0,4way_bitunpack_1,3000000,0.299035
0,4way_bitunpack_2,3000000,0.290633
0,4way_bitunpack_3,3000000,0.306397
0,4way_bitunpack_4,3000000,0.282737
0,4way_bitunpack_5,3000000,0.321963
0,4way_bitunpack_6,3000000,0.314115
0,4way_bitunpack_7,3000000,0.329829
0,4way_bitunpack_8,3000000,0.28269
0,4way_bitunpack_9,3000000,0.345557
0,4way_bitunpack_10,3000000,0.337676
0,4way_bitunpack_11,3000000,0.353414
0,4way_bitunpack_12,3000000,0.329816
0,4way_bitunpack_13,3000000,0.369081
0,4way_bitunpack_14,3000000,0.361216
0,4way_bitunpack_15,3000000,0.376967
0,4way_bitunpack_16,3000000,0.282728
0,4way_bitunpack_17,3000000,0.392648
0,4way_bitunpack_18,3000000,0.384796
0,4way_bitunpack_19,3000000,0.40049
0,4way_bitunpack_20,3000000,0.376931
0,4way_bitunpack_21,3000000,0.416196
0,4way_bitunpack_22,3000000,0.408388
0,4way_bitunpack_23,3000000,0.42429
0,4way_bitunpack_24,3000000,0.329817
0,4way_bitunpack_25,3000000,0.439767
0,4way_bitunpack_26,3000000,0.432347
0,4way_bitunpack_27,3000000,0.448229
0,4way_bitunpack_28,3000000,0.424072
0,4way_bitunpack_29,3000000,0.463314
0,4way_bitunpack_30,3000000,0.455729
0,4way_bitunpack_31,3000000,0.471495
0,4way_bitunpack_32,3000000,0.282698
