benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_256crw_1uf,30000000,0.0323922
1,bench1_unpack_1bw_8ow_256crw_1uf,30000000,0.0323904
2,bench2_unpack_2bw_8ow_256crw_1uf,30000000,0.0323896
3,bench3_unpack_3bw_8ow_256crw_1uf,30000000,0.0372988
4,bench4_unpack_4bw_8ow_256crw_1uf,30000000,0.0323909
5,bench5_unpack_5bw_8ow_256crw_1uf,30000000,0.0461314
6,bench6_unpack_6bw_8ow_256crw_1uf,30000000,0.045152
7,bench7_unpack_7bw_8ow_256crw_1uf,30000000,0.0549679
8,bench8_unpack_8bw_8ow_256crw_1uf,30000000,0.0323894
9,bench9_unpack_0bw_16ow_256crw_1uf,30000000,0.0637973
10,bench10_unpack_1bw_16ow_256crw_1uf,30000000,0.0637979
11,bench11_unpack_2bw_16ow_256crw_1uf,30000000,0.0686394
12,bench12_unpack_3bw_16ow_256crw_1uf,30000000,0.0754738
13,bench13_unpack_4bw_16ow_256crw_1uf,30000000,0.0698179
14,bench14_unpack_5bw_16ow_256crw_1uf,30000000,0.0857107
15,bench15_unpack_6bw_16ow_256crw_1uf,30000000,0.088525
16,bench16_unpack_7bw_16ow_256crw_1uf,30000000,0.0982746
17,bench17_unpack_8bw_16ow_256crw_1uf,30000000,0.0639366
18,bench18_unpack_9bw_16ow_256crw_1uf,30000000,0.105067
19,bench19_unpack_10bw_16ow_256crw_1uf,30000000,0.0907117
20,bench20_unpack_11bw_16ow_256crw_1uf,30000000,0.105064
21,bench21_unpack_12bw_16ow_256crw_1uf,30000000,0.0824661
22,bench22_unpack_13bw_16ow_256crw_1uf,30000000,0.117026
23,bench23_unpack_14bw_16ow_256crw_1uf,30000000,0.102212
24,bench24_unpack_15bw_16ow_256crw_1uf,30000000,0.130963
25,bench25_unpack_16bw_16ow_256crw_1uf,30000000,0.0637967
26,bench26_unpack_0bw_32ow_256crw_1uf,30000000,0.126613
27,bench27_unpack_1bw_32ow_256crw_1uf,30000000,0.126611
28,bench28_unpack_2bw_32ow_256crw_1uf,30000000,0.127526
29,bench29_unpack_3bw_32ow_256crw_1uf,30000000,0.144968
30,bench30_unpack_4bw_32ow_256crw_1uf,30000000,0.139418
31,bench31_unpack_5bw_32ow_256crw_1uf,30000000,0.163946
32,bench32_unpack_6bw_32ow_256crw_1uf,30000000,0.154071
33,bench33_unpack_7bw_32ow_256crw_1uf,30000000,0.16696
34,bench34_unpack_8bw_32ow_256crw_1uf,30000000,0.127802
35,bench35_unpack_9bw_32ow_256crw_1uf,30000000,0.184358
36,bench36_unpack_10bw_32ow_256crw_1uf,30000000,0.169025
37,bench37_unpack_11bw_32ow_256crw_1uf,30000000,0.196832
38,bench38_unpack_12bw_32ow_256crw_1uf,30000000,0.170746
39,bench39_unpack_13bw_32ow_256crw_1uf,30000000,0.202691
40,bench40_unpack_14bw_32ow_256crw_1uf,30000000,0.192614
41,bench41_unpack_15bw_32ow_256crw_1uf,30000000,0.220271
42,bench42_unpack_16bw_32ow_256crw_1uf,30000000,0.129092
43,bench43_unpack_17bw_32ow_256crw_1uf,30000000,0.22478
44,bench44_unpack_18bw_32ow_256crw_1uf,30000000,0.215089
45,bench45_unpack_19bw_32ow_256crw_1uf,30000000,0.236626
46,bench46_unpack_20bw_32ow_256crw_1uf,30000000,0.195946
47,bench47_unpack_21bw_32ow_256crw_1uf,30000000,0.251407
48,bench48_unpack_22bw_32ow_256crw_1uf,30000000,0.237271
49,bench49_unpack_23bw_32ow_256crw_1uf,30000000,0.260339
50,bench50_unpack_24bw_32ow_256crw_1uf,30000000,0.162902
51,bench51_unpack_25bw_32ow_256crw_1uf,30000000,0.261838
52,bench52_unpack_26bw_32ow_256crw_1uf,30000000,0.2368
53,bench53_unpack_27bw_32ow_256crw_1uf,30000000,0.251234
54,bench54_unpack_28bw_32ow_256crw_1uf,30000000,0.186852
55,bench55_unpack_29bw_32ow_256crw_1uf,30000000,0.261642
56,bench56_unpack_30bw_32ow_256crw_1uf,30000000,0.232482
57,bench57_unpack_31bw_32ow_256crw_1uf,30000000,0.278413
58,bench58_unpack_32bw_32ow_256crw_1uf,30000000,0.12941
59,bench59_unpack_0bw_64ow_256crw_1uf,30000000,0.252243
60,bench60_unpack_1bw_64ow_256crw_1uf,30000000,0.252241
61,bench61_unpack_2bw_64ow_256crw_1uf,30000000,0.252241
62,bench62_unpack_3bw_64ow_256crw_1uf,30000000,0.271007
63,bench63_unpack_4bw_64ow_256crw_1uf,30000000,0.253295
64,bench64_unpack_5bw_64ow_256crw_1uf,30000000,0.260761
65,bench65_unpack_6bw_64ow_256crw_1uf,30000000,0.287797
66,bench66_unpack_7bw_64ow_256crw_1uf,30000000,0.288416
67,bench67_unpack_8bw_64ow_256crw_1uf,30000000,0.252318
68,bench68_unpack_9bw_64ow_256crw_1uf,30000000,0.291206
69,bench69_unpack_10bw_64ow_256crw_1uf,30000000,0.312554
70,bench70_unpack_11bw_64ow_256crw_1uf,30000000,0.295294
71,bench71_unpack_12bw_64ow_256crw_1uf,30000000,0.283663
72,bench72_unpack_13bw_64ow_256crw_1uf,30000000,0.303259
73,bench73_unpack_14bw_64ow_256crw_1uf,30000000,0.297554
74,bench74_unpack_15bw_64ow_256crw_1uf,30000000,0.309134
75,bench75_unpack_16bw_64ow_256crw_1uf,30000000,0.259889
76,bench76_unpack_17bw_64ow_256crw_1uf,30000000,0.329973
77,bench77_unpack_18bw_64ow_256crw_1uf,30000000,0.319088
78,bench78_unpack_19bw_64ow_256crw_1uf,30000000,0.328001
79,bench79_unpack_20bw_64ow_256crw_1uf,30000000,0.316079
80,bench80_unpack_21bw_64ow_256crw_1uf,30000000,0.327563
81,bench81_unpack_22bw_64ow_256crw_1uf,30000000,0.324261
82,bench82_unpack_23bw_64ow_256crw_1uf,30000000,0.343583
83,bench83_unpack_24bw_64ow_256crw_1uf,30000000,0.26714
84,bench84_unpack_25bw_64ow_256crw_1uf,30000000,0.34201
85,bench85_unpack_26bw_64ow_256crw_1uf,30000000,0.33559
86,bench86_unpack_27bw_64ow_256crw_1uf,30000000,0.356192
87,bench87_unpack_28bw_64ow_256crw_1uf,30000000,0.331925
88,bench88_unpack_29bw_64ow_256crw_1uf,30000000,0.358107
89,bench89_unpack_30bw_64ow_256crw_1uf,30000000,0.363908
90,bench90_unpack_31bw_64ow_256crw_1uf,30000000,0.373006
91,bench91_unpack_32bw_64ow_256crw_1uf,30000000,0.253988
92,bench92_unpack_33bw_64ow_256crw_1uf,30000000,0.386852
93,bench93_unpack_34bw_64ow_256crw_1uf,30000000,0.375906
94,bench94_unpack_35bw_64ow_256crw_1uf,30000000,0.387946
95,bench95_unpack_36bw_64ow_256crw_1uf,30000000,0.355844
96,bench96_unpack_37bw_64ow_256crw_1uf,30000000,0.4015
97,bench97_unpack_38bw_64ow_256crw_1uf,30000000,0.387896
98,bench98_unpack_39bw_64ow_256crw_1uf,30000000,0.420243
99,bench99_unpack_40bw_64ow_256crw_1uf,30000000,0.296956
100,bench100_unpack_41bw_64ow_256crw_1uf,30000000,0.431852
101,bench101_unpack_42bw_64ow_256crw_1uf,30000000,0.412285
102,bench102_unpack_43bw_64ow_256crw_1uf,30000000,0.4332
103,bench103_unpack_44bw_64ow_256crw_1uf,30000000,0.389412
104,bench104_unpack_45bw_64ow_256crw_1uf,30000000,0.441733
