benchmark_number,name,iterations,cycles_per_tuple
1,rle_scalar,3000000,0.152418
1,rle_simd,3000000,0.307258
2,rle_scalar,3000000,0.22088
2,rle_simd,3000000,0.232515
3,rle_scalar,3000000,0.192084
3,rle_simd,3000000,0.227218
4,rle_scalar,3000000,0.220754
4,rle_simd,3000000,0.194491
5,rle_scalar,3000000,0.264282
5,rle_simd,3000000,0.222857
6,rle_scalar,3000000,0.356575
6,rle_simd,3000000,0.209908
7,rle_scalar,3000000,0.261536
7,rle_simd,3000000,0.213852
8,rle_scalar,3000000,0.3043
8,rle_simd,3000000,0.187745
9,rle_scalar,3000000,0.527523
9,rle_simd,3000000,0.222509
10,rle_scalar,3000000,0.47389
10,rle_simd,3000000,0.218188
11,rle_scalar,3000000,0.423076
11,rle_simd,3000000,0.199963
12,rle_scalar,3000000,0.360812
12,rle_simd,3000000,0.188202
13,rle_scalar,3000000,0.378743
13,rle_simd,3000000,0.197265
14,rle_scalar,3000000,0.378718
14,rle_simd,3000000,0.219959
15,rle_scalar,3000000,0.425991
15,rle_simd,3000000,0.234174
16,rle_scalar,3000000,0.486092
16,rle_simd,3000000,0.244564
17,rle_scalar,3000000,0.678977
17,rle_simd,3000000,0.247342
18,rle_scalar,3000000,0.734149
18,rle_simd,3000000,0.258434
19,rle_scalar,3000000,0.951154
19,rle_simd,3000000,0.263389
20,rle_scalar,3000000,1.01238
20,rle_simd,3000000,0.271991
21,rle_scalar,3000000,1.01264
21,rle_simd,3000000,0.260834
22,rle_scalar,3000000,1.01193
22,rle_simd,3000000,0.259511
23,rle_scalar,3000000,1.01538
23,rle_simd,3000000,0.259081
24,rle_scalar,3000000,1.01243
24,rle_simd,3000000,0.261757
25,rle_scalar,3000000,1.01586
25,rle_simd,3000000,0.275252
26,rle_scalar,3000000,1.01477
26,rle_simd,3000000,0.260269
27,rle_scalar,3000000,1.01502
27,rle_simd,3000000,0.244101
28,rle_scalar,3000000,1.01645
28,rle_simd,3000000,0.242613
29,rle_scalar,3000000,1.0152
29,rle_simd,3000000,0.263187
30,rle_scalar,3000000,1.01571
30,rle_simd,3000000,0.241177
31,rle_scalar,3000000,1.01609
31,rle_simd,3000000,0.273745
32,rle_scalar,3000000,1.01456
32,rle_simd,3000000,0.245832
33,rle_scalar,3000000,1.01533
33,rle_simd,3000000,0.254411
34,rle_scalar,3000000,1.01416
34,rle_simd,3000000,0.258673
35,rle_scalar,3000000,1.01392
35,rle_simd,3000000,0.263795
36,rle_scalar,3000000,1.01401
36,rle_simd,3000000,0.255382
37,rle_scalar,3000000,1.01375
37,rle_simd,3000000,0.265324
38,rle_scalar,3000000,1.01389
38,rle_simd,3000000,0.250836
39,rle_scalar,3000000,1.01649
39,rle_simd,3000000,0.272462
40,rle_scalar,3000000,1.01618
40,rle_simd,3000000,0.268485
41,rle_scalar,3000000,1.01437
41,rle_simd,3000000,0.267337
42,rle_scalar,3000000,1.01456
42,rle_simd,3000000,0.277604
43,rle_scalar,3000000,1.01362
43,rle_simd,3000000,0.280126
44,rle_scalar,3000000,1.0152
44,rle_simd,3000000,0.282624
45,rle_scalar,3000000,1.01522
45,rle_simd,3000000,0.271106
46,rle_scalar,3000000,1.0159
46,rle_simd,3000000,0.330644
47,rle_scalar,3000000,1.0169
47,rle_simd,3000000,0.308763
48,rle_scalar,3000000,1.01741
48,rle_simd,3000000,0.292348
49,rle_scalar,3000000,1.01618
49,rle_simd,3000000,0.290932
50,rle_scalar,3000000,1.01864
50,rle_simd,3000000,0.291691
51,rle_scalar,3000000,1.01832
51,rle_simd,3000000,0.303103
52,rle_scalar,3000000,1.01827
52,rle_simd,3000000,0.312366
53,rle_scalar,3000000,1.01825
53,rle_simd,3000000,0.323651
54,rle_scalar,3000000,1.01972
54,rle_simd,3000000,0.320145
55,rle_scalar,3000000,1.02067
55,rle_simd,3000000,0.33075
56,rle_scalar,3000000,1.02017
56,rle_simd,3000000,0.348294
57,rle_scalar,3000000,1.02045
57,rle_simd,3000000,0.345346
58,rle_scalar,3000000,1.02444
58,rle_simd,3000000,0.346496
59,rle_scalar,3000000,1.02053
59,rle_simd,3000000,0.3193
60,rle_scalar,3000000,1.02287
60,rle_simd,3000000,0.334769
61,rle_scalar,3000000,1.02413
61,rle_simd,3000000,0.321403
62,rle_scalar,3000000,1.02629
62,rle_simd,3000000,0.31712
63,rle_scalar,3000000,1.04708
63,rle_simd,3000000,0.356977
64,rle_scalar,3000000,1.03238
64,rle_simd,3000000,0.348592
65,rle_scalar,3000000,1.04258
65,rle_simd,3000000,0.330986
66,rle_scalar,3000000,1.04518
66,rle_simd,3000000,0.324512
