benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_128crw_1uf,3000000,0.0625012
1,bench1_unpack_1bw_8ow_128crw_1uf,3000000,0.0892404
2,bench2_unpack_2bw_8ow_128crw_1uf,3000000,0.0811869
3,bench3_unpack_3bw_8ow_128crw_1uf,3000000,0.1078
4,bench4_unpack_4bw_8ow_128crw_1uf,3000000,0.0666137
5,bench5_unpack_5bw_8ow_128crw_1uf,3000000,0.124026
6,bench6_unpack_6bw_8ow_128crw_1uf,3000000,0.116556
7,bench7_unpack_7bw_8ow_128crw_1uf,3000000,0.145976
8,bench8_unpack_8bw_8ow_128crw_1uf,3000000,0.0626187
9,bench9_unpack_0bw_16ow_128crw_1uf,3000000,0.125002
10,bench10_unpack_1bw_16ow_128crw_1uf,3000000,0.189814
11,bench11_unpack_2bw_16ow_128crw_1uf,3000000,0.185182
12,bench12_unpack_3bw_16ow_128crw_1uf,3000000,0.211163
13,bench13_unpack_4bw_16ow_128crw_1uf,3000000,0.164181
14,bench14_unpack_5bw_16ow_128crw_1uf,3000000,0.228404
15,bench15_unpack_6bw_16ow_128crw_1uf,3000000,0.208744
16,bench16_unpack_7bw_16ow_128crw_1uf,3000000,0.240726
17,bench17_unpack_8bw_16ow_128crw_1uf,3000000,0.144289
18,bench18_unpack_9bw_16ow_128crw_1uf,3000000,0.25562
19,bench19_unpack_10bw_16ow_128crw_1uf,3000000,0.258793
20,bench20_unpack_11bw_16ow_128crw_1uf,3000000,0.285162
21,bench21_unpack_12bw_16ow_128crw_1uf,3000000,0.227941
22,bench22_unpack_13bw_16ow_128crw_1uf,3000000,0.295659
23,bench23_unpack_14bw_16ow_128crw_1uf,3000000,0.29273
24,bench24_unpack_15bw_16ow_128crw_1uf,3000000,0.308843
25,bench25_unpack_16bw_16ow_128crw_1uf,3000000,0.144075
26,bench26_unpack_0bw_32ow_128crw_1uf,3000000,0.25391
27,bench27_unpack_1bw_32ow_128crw_1uf,3000000,0.397955
28,bench28_unpack_2bw_32ow_128crw_1uf,3000000,0.381978
29,bench29_unpack_3bw_32ow_128crw_1uf,3000000,0.411109
30,bench30_unpack_4bw_32ow_128crw_1uf,3000000,0.358547
31,bench31_unpack_5bw_32ow_128crw_1uf,3000000,0.419032
32,bench32_unpack_6bw_32ow_128crw_1uf,3000000,0.410491
33,bench33_unpack_7bw_32ow_128crw_1uf,3000000,0.441356
34,bench34_unpack_8bw_32ow_128crw_1uf,3000000,0.322027
35,bench35_unpack_9bw_32ow_128crw_1uf,3000000,0.455571
36,bench36_unpack_10bw_32ow_128crw_1uf,3000000,0.441977
37,bench37_unpack_11bw_32ow_128crw_1uf,3000000,0.470448
38,bench38_unpack_12bw_32ow_128crw_1uf,3000000,0.423542
39,bench39_unpack_13bw_32ow_128crw_1uf,3000000,0.48491
40,bench40_unpack_14bw_32ow_128crw_1uf,3000000,0.478609
41,bench41_unpack_15bw_32ow_128crw_1uf,3000000,0.507838
42,bench42_unpack_16bw_32ow_128crw_1uf,3000000,0.320804
43,bench43_unpack_17bw_32ow_128crw_1uf,3000000,0.533832
44,bench44_unpack_18bw_32ow_128crw_1uf,3000000,0.514795
45,bench45_unpack_19bw_32ow_128crw_1uf,3000000,0.54801
46,bench46_unpack_20bw_32ow_128crw_1uf,3000000,0.490212
47,bench47_unpack_21bw_32ow_128crw_1uf,3000000,0.560269
48,bench48_unpack_22bw_32ow_128crw_1uf,3000000,0.543902
49,bench49_unpack_23bw_32ow_128crw_1uf,3000000,0.582042
50,bench50_unpack_24bw_32ow_128crw_1uf,3000000,0.455992
51,bench51_unpack_25bw_32ow_128crw_1uf,3000000,0.599841
52,bench52_unpack_26bw_32ow_128crw_1uf,3000000,0.585998
53,bench53_unpack_27bw_32ow_128crw_1uf,3000000,0.624597
54,bench54_unpack_28bw_32ow_128crw_1uf,3000000,0.57789
55,bench55_unpack_29bw_32ow_128crw_1uf,3000000,0.650053
56,bench56_unpack_30bw_32ow_128crw_1uf,3000000,0.611829
57,bench57_unpack_31bw_32ow_128crw_1uf,3000000,0.666351
58,bench58_unpack_32bw_32ow_128crw_1uf,3000000,0.397311
59,bench59_unpack_0bw_64ow_128crw_1uf,3000000,0.500341
60,bench60_unpack_1bw_64ow_128crw_1uf,3000000,0.808361
61,bench61_unpack_2bw_64ow_128crw_1uf,3000000,0.784679
62,bench62_unpack_3bw_64ow_128crw_1uf,3000000,0.802991
63,bench63_unpack_4bw_64ow_128crw_1uf,3000000,0.744407
64,bench64_unpack_5bw_64ow_128crw_1uf,3000000,0.810804
65,bench65_unpack_6bw_64ow_128crw_1uf,3000000,0.804944
66,bench66_unpack_7bw_64ow_128crw_1uf,3000000,0.82057
67,bench67_unpack_8bw_64ow_128crw_1uf,3000000,0.709184
68,bench68_unpack_9bw_64ow_128crw_1uf,3000000,0.848645
69,bench69_unpack_10bw_64ow_128crw_1uf,3000000,0.834243
70,bench70_unpack_11bw_64ow_128crw_1uf,3000000,0.858412
71,bench71_unpack_12bw_64ow_128crw_1uf,3000000,0.820077
72,bench72_unpack_13bw_64ow_128crw_1uf,3000000,0.880386
73,bench73_unpack_14bw_64ow_128crw_1uf,3000000,0.87695
74,bench74_unpack_15bw_64ow_128crw_1uf,3000000,0.892191
75,bench75_unpack_16bw_64ow_128crw_1uf,3000000,0.633574
76,bench76_unpack_17bw_64ow_128crw_1uf,3000000,0.916274
77,bench77_unpack_18bw_64ow_128crw_1uf,3000000,0.901627
78,bench78_unpack_19bw_64ow_128crw_1uf,3000000,0.944838
79,bench79_unpack_20bw_64ow_128crw_1uf,3000000,0.881117
80,bench80_unpack_21bw_64ow_128crw_1uf,3000000,0.958758
81,bench81_unpack_22bw_64ow_128crw_1uf,3000000,0.938735
82,bench82_unpack_23bw_64ow_128crw_1uf,3000000,0.965929
83,bench83_unpack_24bw_64ow_128crw_1uf,3000000,0.840178
84,bench84_unpack_25bw_64ow_128crw_1uf,3000000,0.99001
85,bench85_unpack_26bw_64ow_128crw_1uf,3000000,0.964861
86,bench86_unpack_27bw_64ow_128crw_1uf,3000000,1.01467
87,bench87_unpack_28bw_64ow_128crw_1uf,3000000,0.94069
88,bench88_unpack_29bw_64ow_128crw_1uf,3000000,1.02388
89,bench89_unpack_30bw_64ow_128crw_1uf,3000000,0.999039
90,bench90_unpack_31bw_64ow_128crw_1uf,3000000,1.04063
91,bench91_unpack_32bw_64ow_128crw_1uf,3000000,0.69021
92,bench92_unpack_33bw_64ow_128crw_1uf,3000000,1.08571
93,bench93_unpack_34bw_64ow_128crw_1uf,3000000,1.04462
94,bench94_unpack_35bw_64ow_128crw_1uf,3000000,1.10426
95,bench95_unpack_36bw_64ow_128crw_1uf,3000000,1.01418
96,bench96_unpack_37bw_64ow_128crw_1uf,3000000,1.13351
97,bench97_unpack_38bw_64ow_128crw_1uf,3000000,1.07985
98,bench98_unpack_39bw_64ow_128crw_1uf,3000000,1.15993
99,bench99_unpack_40bw_64ow_128crw_1uf,3000000,0.967838
100,bench100_unpack_41bw_64ow_128crw_1uf,3000000,1.18337
101,bench101_unpack_42bw_64ow_128crw_1uf,3000000,1.105
102,bench102_unpack_43bw_64ow_128crw_1uf,3000000,1.19931
103,bench103_unpack_44bw_64ow_128crw_1uf,3000000,1.07934
104,bench104_unpack_45bw_64ow_128crw_1uf,3000000,1.24684
105,bench105_unpack_46bw_64ow_128crw_1uf,3000000,1.15041
106,bench106_unpack_47bw_64ow_128crw_1uf,3000000,1.25182
107,bench107_unpack_48bw_64ow_128crw_1uf,3000000,0.894664
108,bench108_unpack_49bw_64ow_128crw_1uf,3000000,1.29412
109,bench109_unpack_50bw_64ow_128crw_1uf,3000000,1.18989
110,bench110_unpack_51bw_64ow_128crw_1uf,3000000,1.31944
111,bench111_unpack_52bw_64ow_128crw_1uf,3000000,1.15163
112,bench112_unpack_53bw_64ow_128crw_1uf,3000000,1.35555
113,bench113_unpack_54bw_64ow_128crw_1uf,3000000,1.21721
114,bench114_unpack_55bw_64ow_128crw_1uf,3000000,1.37339
115,bench115_unpack_56bw_64ow_128crw_1uf,3000000,1.09986
116,bench116_unpack_57bw_64ow_128crw_1uf,3000000,1.39773
117,bench117_unpack_58bw_64ow_128crw_1uf,3000000,1.25799
118,bench118_unpack_59bw_64ow_128crw_1uf,3000000,1.41927
119,bench119_unpack_60bw_64ow_128crw_1uf,3000000,1.2095
120,bench120_unpack_61bw_64ow_128crw_1uf,3000000,1.44349
121,bench121_unpack_62bw_64ow_128crw_1uf,3000000,1.29799
122,bench122_unpack_63bw_64ow_128crw_1uf,3000000,1.47307
123,bench123_unpack_64bw_64ow_128crw_1uf,3000000,0.87883
